"Product","Gene_Name","Count","Example_Tag","DbXrefs"
"Na(+)/H(+) antiporter NhaB","nhaB",9,"GEGEGB_05690","COG:COG3067, COG:CP, GO:0005886, GO:0006814, GO:0015385, GO:1902600, RefSeq:WP_000406446.1, SO:0001217, UniParc:UPI0000059D47, UniRef:UniRef100_B5F4E1, UniRef:UniRef50_P44706, UniRef:UniRef90_Q8FI24"
"Na+/H+ antiporter","nhaP",9,"GEGEGB_22060","COG:COG0025, COG:P, GO:0006814, GO:0006885, GO:0015385, GO:1902600, RefSeq:WP_000402189.1, SO:0001217, UniParc:UPI000169FED2, UniRef:UniRef100_Q8Z1R5, UniRef:UniRef50_A0A0G3JWG5, UniRef:UniRef90_A0A078LEV6"
"Na+/H+ antiporter NhaA","nhaA",9,"GEGEGB_00220","COG:COG3004, COG:CP, GO:0005886, GO:0006814, GO:0006885, GO:0015081, GO:0015297, GO:0015385, GO:1902600, RefSeq:WP_000681337.1, SO:0001217, UniParc:UPI0000059989, UniRef:UniRef100_Q5PDL4, UniRef:UniRef50_P13738, UniRef:UniRef90_Q8XA63"
"Na+/H+ antiporter NhaD or related arsenite permease","arsB",9,"GEGEGB_10805","COG:COG1055, COG:P, RefSeq:WP_001046516.1, SO:0001217, UniParc:UPI000005A0D1, UniRef:UniRef100_A0A725GA68, UniRef:UniRef50_A0A090V2A1, UniRef:UniRef90_B5R7A2"
"Na+/alanine symporter","alsT",9,"GEGEGB_00030","COG:COG1115, COG:E, RefSeq:WP_001113816.1, SO:0001217, UniParc:UPI0000059967, UniRef:UniRef100_A0A725JT77, UniRef:UniRef50_P30143, UniRef:UniRef90_A9MR83"
"Negative regulator",NA,9,"GEGEGB_02410","RefSeq:WP_000472034.1, SO:0001217, UniParc:UPI0000059B08, UniRef:UniRef100_A0A0T7RVZ5, UniRef:UniRef50_P0AD38, UniRef:UniRef90_A0A0K0HD05"
"NfuA family Fe-S biogenesis protein","nfuA",9,"GEGEGB_21120","BlastRules:WP_005410314, BlastRules:WP_009874494, BlastRules:WP_011091592, BlastRules:WP_011126831, BlastRules:WP_011283110, BlastRules:WP_011672727, BlastRules:WP_011737804, BlastRules:WP_041943809, COG:COG0694, COG:O, GO:0005506, GO:0016226, GO:0051539, GO:0051604, RefSeq:WP_000619394.1, SO:0001217, UniParc:UPI000005A7AE, UniRef:UniRef100_Q8Z223, UniRef:UniRef50_Q8DDU2, UniRef:UniRef90_Q5PLY6"
"Ni(II)/Co(II) efflux transporter accessory subunit RcnB","rcnB",9,"GEGEGB_03785","BlastRules:WP_000153067, RefSeq:WP_000837534.1, SO:0001217, UniParc:UPI0000059BFD, UniRef:UniRef100_G5Q4Q1, UniRef:UniRef50_A8AEC0, UniRef:UniRef90_G5Q4Q1"
"Ni(II)/Co(II)-binding transcriptional repressor RcnR","rcnR",9,"GEGEGB_15435","COG:COG1937, COG:K, GO:0003677, GO:0005737, GO:0045892, GO:0046872, KEGG:K23240, RefSeq:WP_000019953.1, SO:0001217, UniParc:UPI000005A3F5, UniRef:UniRef100_Q5PEQ5, UniRef:UniRef50_A8AP75, UniRef:UniRef90_Q5PEQ5"
"Ni,Fe-hydrogenase I small subunit","hyaA",9,"GEGEGB_07700","COG:C, COG:COG1740, RefSeq:WP_001194451.1, SO:0001217, UniParc:UPI0000059EA6, UniRef:UniRef100_A0A725VIT6, UniRef:UniRef50_P31892, UniRef:UniRef90_A0A757Y506"
"Ni,Fe-hydrogenase maturation factor","hybD",9,"GEGEGB_07680","COG:C, COG:COG0680, RefSeq:WP_000852667.1, SO:0001217, UniParc:UPI0000059EA4, UniRef:UniRef100_A0A725VEB3, UniRef:UniRef50_A0A2I5HH33, UniRef:UniRef90_A0A2I5HH33"
"Ni/Fe-hydrogenase b-type cytochrome subunit","hyaC",9,"GEGEGB_05790","COG:C, COG:COG1969, EC:1.12.99.6, RefSeq:WP_000147028.1, SO:0001217, UniParc:UPI0000059D56, UniRef:UniRef100_A0A725VD44, UniRef:UniRef50_P0AAM2, UniRef:UniRef90_A0A344R1E6"
"Ni/Fe-hydrogenase cytochrome b subunit","hybB",9,"GEGEGB_16120","COG:C, COG:COG5557, EC:1.12.99.6, GO:0005886, GO:0009061, GO:0019645, GO:0044569, GO:0046872, RefSeq:WP_000017676.1, SO:0001217, UniParc:UPI000005A473, UniRef:UniRef100_A0A725VHE9, UniRef:UniRef50_P37180, UniRef:UniRef90_P37180"
"Ni/Fe-hydrogenase large subunit","hyaB",9,"GEGEGB_05795","COG:C, COG:COG0374, EC:1.12.99.6, GO:0005886, GO:0008901, GO:0016151, GO:0022904, GO:0033748, RefSeq:WP_000070982.1, SO:0001217, UniParc:UPI0000059D57, UniRef:UniRef100_A0A3Z3HRN3, UniRef:UniRef50_P0ACD8, UniRef:UniRef90_P0ACD8"
"Ni/Fe-hydrogenase, b-type cytochrome subunit","cybH",9,"GEGEGB_07685","COG:C, COG:COG1969, GO:0005506, GO:0009055, GO:0016020, GO:0022904, RefSeq:WP_000550204.1, SO:0001217, UniParc:UPI00004F7C28, UniRef:UniRef100_A0A8E6XZS1, UniRef:UniRef50_I0IS51, UniRef:UniRef90_A0A0K0HA37"
"Nicotinamidase-related amidase","pncA",9,"GEGEGB_19850","COG:COG1335, COG:HR, RefSeq:WP_000106461.1, SO:0001217, UniParc:UPI000005A6D6, UniRef:UniRef100_A0A3U7XRX6, UniRef:UniRef50_A0A5E6RR37, UniRef:UniRef90_A0A6S7EVI9"
"Nitrate/nitrite transporter NarK","narK",9,"GEGEGB_01530","COG:COG2223, COG:P, RefSeq:WP_001276374.1, SO:0001217, UniParc:UPI0000059A72, UniRef:UniRef100_A0A725G8Z2, UniRef:UniRef50_A0A0T9WM45, UniRef:UniRef90_A0A0T9WM45"
"Nitrate/nitrite transporter NarU","narU",9,"GEGEGB_07860","COG:COG2223, COG:P, GO:0005886, GO:0015112, GO:0015113, GO:0042128, RefSeq:WP_000198245.1, SO:0001217, UniParc:UPI0000059EBE, UniRef:UniRef100_A0A3U5QE15, UniRef:UniRef50_P37593, UniRef:UniRef90_P37593"
"Nitric oxide reductase",NA,9,"GEGEGB_06085","RefSeq:WP_024131169.1, SO:0001217, UniParc:UPI00031677EC, UniRef:UniRef100_A0A725VNP1, UniRef:UniRef50_A8AHI7, UniRef:UniRef90_C0Q719"
"Nitrite reductase",NA,9,"GEGEGB_00275","RefSeq:WP_000516332.1, SO:0001217, UniParc:UPI0000059994, UniRef:UniRef100_A0A725FWB3, UniRef:UniRef50_L4JHW8, UniRef:UniRef90_V7IHS6"
"Nitroimidazole reductase NimA or a related FMN-containing flavoprotein, pyridoxamine 5'-phosphate oxidase superfamily","nimA",9,"GEGEGB_11480","COG:COG3467, COG:V, RefSeq:WP_000070053.1, SO:0001217, UniParc:UPI000005A140, UniRef:UniRef100_A0A5W5R5Y5, UniRef:UniRef50_E3G4H8, UniRef:UniRef90_E8XA51"
"Nucleoside-specific channel-forming protein Tsx","tsx",9,"GEGEGB_12910","COG:COG3248, COG:M, GO:0005337, GO:0006811, GO:0009279, GO:0015288, GO:0046930, RefSeq:WP_000752021.1, SO:0001217, UniParc:UPI000005A23C, UniRef:UniRef100_P0A262, UniRef:UniRef50_P0A262, UniRef:UniRef90_P0A262"
"O-acetyl-ADP-ribose deacetylase","ymdB",9,"GEGEGB_09370","COG:COG2110, COG:J, EC:3.1.1.106, GO:0001883, GO:0003824, GO:0008428, GO:0019213, GO:0042278, RefSeq:WP_000203944.1, SO:0001217, UniParc:UPI000013B992, UniRef:UniRef100_P67342, UniRef:UniRef50_P67342, UniRef:UniRef90_P67342"
"O-acetylserine/cysteine exporter","eamA",9,"GEGEGB_07590","COG:COG0697, COG:GER, GO:0005886, GO:0006865, GO:0016020, RefSeq:WP_000987753.1, SO:0001217, UniParc:UPI0000059E95, UniRef:UniRef100_A0A725VEC5, UniRef:UniRef50_Q56072, UniRef:UniRef90_Q56072"
"O-antigen ligase RfaL","rfaL",9,"GEGEGB_20115","COG:COG3307, COG:M, GO:0005886, GO:0009244, GO:0016874, RefSeq:WP_000958453.1, SO:0001217, UniParc:UPI000005A6FF, UniRef:UniRef100_A0A3U2R5H3, UniRef:UniRef50_P26471, UniRef:UniRef90_P26471"
"Obg family GTPase CgtA","cgtA",9,"GEGEGB_16955","COG:COG0536, COG:DL, EC:3.6.5.-, GO:0000287, GO:0003924, GO:0005525, GO:0005737, GO:0042254, RefSeq:WP_000673554.1, SO:0001217, UniParc:UPI000005A4FE, UniRef:UniRef100_Q8Z3H1, UniRef:UniRef50_Q9KUS8, UniRef:UniRef90_Q8Z3H1"
"Oligopeptide transport ATP-binding protein OppD","oppD",9,"GEGEGB_08755","COG:COG0444, COG:EP, GO:0005524, GO:0005886, GO:0015031, GO:0015833, GO:0016887, RefSeq:WP_000058853.1, SO:0001217, UniParc:UPI0000059F5A, UniRef:UniRef100_A0A725G8Z6, UniRef:UniRef50_P04285, UniRef:UniRef90_P04285"
"OmpA family lipoprotein","ompA",9,"GEGEGB_20475","COG:COG2885, COG:M, GO:0009279, RefSeq:WP_000747548.1, SO:0001217, UniParc:UPI000005A73E, UniRef:UniRef100_A0A8E6Y3Z7, UniRef:UniRef50_A0A0J2H392, UniRef:UniRef90_A0A0J2H392"
"Orotate phosphoribosyltransferase","pyrE",9,"GEGEGB_20015","COG:COG0461, COG:F, EC:2.4.2.10, GO:0000287, GO:0004588, GO:0044205, RefSeq:WP_000806169.1, SO:0001217, UniParc:UPI000005A6EA, UniRef:UniRef100_Q8Z2H5, UniRef:UniRef50_Q8E9L5, UniRef:UniRef90_Q8XD99"
"OsmC family peroxiredoxin","osmC",9,"GEGEGB_07815","RefSeq:WP_000152297.1, SO:0001217, UniParc:UPI0000059EB7, UniRef:UniRef100_A0A5I0S2W3, UniRef:UniRef50_A0A0D7LHV0, UniRef:UniRef90_A0A0D7LHV0"
"OsmC family protein","yhfA",9,"GEGEGB_21360","COG:COG1765, COG:R, RefSeq:WP_001148917.1, SO:0001217, UniParc:UPI000005A7D8, UniRef:UniRef100_A0A725VE84, UniRef:UniRef50_P0ADX3, UniRef:UniRef90_A0A0F6TX17"
"Outer membrane esterase",NA,9,"GEGEGB_12080","RefSeq:WP_000192421.1, SO:0001217, UniParc:UPI000005A1A8, UniRef:UniRef100_A0A725VLN0, UniRef:UniRef50_A0A379QMJ3, UniRef:UniRef90_A0A379QMJ3"
"Outer membrane lipoprotein LpoA, binds and activates PBP1a","lpoA",9,"GEGEGB_16770","COG:COG3107, COG:M, RefSeq:WP_000249248.1, SO:0001217, UniParc:UPI000005A4DE, UniRef:UniRef100_A0A725G3H0, UniRef:UniRef50_P45464, UniRef:UniRef90_C0PZ32"
"Outer membrane porin C","ompC",9,"GEGEGB_03215","COG:COG3203, COG:M, GO:0009279, GO:0015288, GO:0034220, GO:0046930, RefSeq:WP_000865526.1, SO:0001217, UniParc:UPI0000059B97, UniRef:UniRef100_P0A264, UniRef:UniRef50_P06996, UniRef:UniRef90_P0A264"
"Outer membrane protein X",NA,9,"GEGEGB_10840","RefSeq:WP_000716763.1, SO:0001217, UniParc:UPI000005A0D4, UniRef:UniRef100_A0A6C8GRB0, UniRef:UniRef90_P0A919"
"Outer membrane scaffolding protein for murein synthesis, MipA/OmpV family","ompV",9,"GEGEGB_06170","COG:COG3713, COG:M, KEGG:K07274, RefSeq:WP_000163762.1, SO:0001217, UniParc:UPI0000059D9C, UniRef:UniRef100_A0A8E6XGQ9, UniRef:UniRef50_C7BIC6, UniRef:UniRef90_A0A379QJ76"
"Ovule protein",NA,9,"GEGEGB_06290","RefSeq:WP_012218869.1, SO:0001217, UniParc:UPI00016040FD, UniRef:UniRef100_A0A3T3EM71, UniRef:UniRef50_A0A344R2S8, UniRef:UniRef90_A0A344R2S8"
"Oxo-acid lyase",NA,9,"GEGEGB_23645","RefSeq:WP_000779260.1, SO:0001217, UniParc:UPI000005A96E, UniRef:UniRef100_A0A725G6E4, UniRef:UniRef50_X5NXR6, UniRef:UniRef90_A8AMF0"
"P-II family nitrogen regulator","glnK",9,"GEGEGB_12630","COG:COG0347, COG:TE, GO:0006808, GO:0030234, RefSeq:WP_000780341.1, SO:0001217, UniParc:UPI000005A207, UniRef:UniRef100_A0A3V7PDT0, UniRef:UniRef50_O66513, UniRef:UniRef90_A0A455VUC8"
"PAS domain","pAS",9,"GEGEGB_16495","COG:COG2202, COG:T, RefSeq:WP_000094656.1, SO:0001217, UniParc:UPI000005A4B3, UniRef:UniRef100_A0A725FX19, UniRef:UniRef50_P50466, UniRef:UniRef90_A0A315G566"
"PQQ enzyme repeat protein",NA,9,"GEGEGB_20515","RefSeq:WP_000940824.1, SO:0001217, UniParc:UPI000005A746, UniRef:UniRef100_A0A725K2M2, UniRef:UniRef50_A9BRD5, UniRef:UniRef90_A0A0K0HFW4"
"PRD domain-containing protein",NA,9,"GEGEGB_23610","SO:0001217, UniParc:UPI00004F8306, UniRef:UniRef100_A0A5U5UTB4, UniRef:UniRef50_D4GNV1, UniRef:UniRef90_A9MEX7"
"PTS IIA-like nitrogen regulatory protein PtsN","ptsN",9,"GEGEGB_17060","COG:COG1762, COG:GT, GO:0005737, GO:0008982, GO:0009401, GO:0016301, GO:0016310, RefSeq:WP_000609332.1, SO:0001217, UniParc:UPI000005A513, UniRef:UniRef100_A0A5I0S3R9, UniRef:UniRef50_P69829, UniRef:UniRef90_P69829"
"PTS N,N'-diacetylchitobiose transporter subunit IIA","chbA",9,"GEGEGB_06325","COG:COG1447, COG:G, EC:2.7.1.196, RefSeq:WP_000459882.1, SO:0001217, UniParc:UPI0000059DB5, UniRef:UniRef100_A0A725VI91, UniRef:UniRef50_P69793, UniRef:UniRef90_C0Q6X0"
"PTS N,N'-diacetylchitobiose transporter subunit IIB","chbB",9,"GEGEGB_06315","BlastRules:WP_000412169, COG:COG1440, COG:G, EC:2.7.1.196, RefSeq:WP_000412161.1, SO:0001217, UniParc:UPI0000059DB3, UniRef:UniRef100_M7RF95, UniRef:UniRef50_P69830, UniRef:UniRef90_A0A3Y2RS55"
"PTS N,N'-diacetylchitobiose transporter subunit IIC","chbC",9,"GEGEGB_06320","COG:COG1455, COG:G, EC:2.7.1.196, GO:0005886, GO:0008982, GO:0009401, GO:0016020, GO:1902495, GO:1902815, KEGG:K02761, RefSeq:WP_000073015.1, SO:0001217, UniParc:UPI0000059DB4, UniRef:UniRef100_A0A725K5U2, UniRef:UniRef50_P17334, UniRef:UniRef90_P17334"
"PTS N-acetyl glucosamine transporter subunit IIABC","nagE",9,"GEGEGB_11550","COG:COG2190, COG:G, EC:2.7.1.193, GO:0005886, GO:0008982, GO:0009401, GO:0015572, GO:0016020, GO:0016301, GO:0016310, GO:0019866, GO:0046872, RefSeq:WP_001023150.1, SO:0001217, UniParc:UPI000005A14E, UniRef:UniRef100_A0A725VGL7, UniRef:UniRef50_P09323, UniRef:UniRef90_P09323"
"PTS ascorbate transporter subunit IIA","ulaC",9,"GEGEGB_23410","COG:COG1762, COG:GT, EC:2.7.1.194, GO:0005737, GO:0009401, GO:0016301, GO:0016310, RefSeq:WP_000776536.1, SO:0001217, UniParc:UPI000005A942, UniRef:UniRef100_Q8Z170, UniRef:UniRef50_Q8Z170, UniRef:UniRef90_Q8Z170"
"PTS ascorbate transporter subunit IIB","ulaB",9,"GEGEGB_23405","COG:COG3414, COG:G, EC:2.7.1.194, SO:0001217, UniRef:UniRef50_A0A377WDR5, UniRef:UniRef90_A0A377WDR5"
"PTS fructose transporter subunit IIBC","fruA",9,"GEGEGB_03475","COG:COG3925, COG:GT, EC:2.7.1.-, GO:0008982, GO:0009401, GO:0022877, RefSeq:WP_000854408.1, SO:0001217, UniParc:UPI0000059BC9, UniRef:UniRef100_A0A725GAG2, UniRef:UniRef50_P20966, UniRef:UniRef90_A0A3Z3FRP9"
"PTS glucitol/sorbitol transporter subunit IIA","srlB",9,"GEGEGB_14405","COG:COG3731, COG:G, EC:2.7.1.198, RefSeq:WP_000111554.1, SO:0001217, UniParc:UPI000005A339, UniRef:UniRef100_A0A5I0KX77, UniRef:UniRef50_A0A2I5HD97, UniRef:UniRef90_A0A2I5HD97"
"PTS glucitol/sorbitol transporter subunit IIC","srlA",9,"GEGEGB_14395","BlastRules:WP_000573321, COG:COG3730, COG:G, EC:2.7.1.198, RefSeq:WP_000573335.1, SO:0001217, UniParc:UPI000005A337, UniRef:UniRef100_M7RFY8, UniRef:UniRef50_P56579, UniRef:UniRef90_A0A2I5HD76"
"PTS glucose transporter subunit IIA","crr",9,"GEGEGB_02305","EC:2.7.1.199, GO:0005737, GO:0009401, GO:0016301, GO:0016310, GO:0046872, RefSeq:WP_000522253.1, SO:0001217, UniParc:UPI0000059AF8, UniRef:UniRef100_P0A284, UniRef:UniRef50_P0A284, UniRef:UniRef90_P0A284"
"PTS mannitol transporter subunit IICBA","mtlA",9,"GEGEGB_20270","BlastRules:WP_000093247, COG:COG4668, COG:G, EC:2.7.1.198, RefSeq:WP_000093287.1, SO:0001217, UniParc:UPI000005A71A, UniRef:UniRef100_A0A3Z3I2A0, UniRef:UniRef50_P00550, UniRef:UniRef90_A0A2I5HMK9"
"PTS mannose transporter subunit IIAB","manX",9,"GEGEGB_05570","COG:COG3444, COG:G, EC:2.7.1.191, GO:0008982, GO:0009401, RefSeq:WP_000150523.1, SO:0001217, UniParc:UPI0000059D30, UniRef:UniRef100_A0A1S0ZKE5, UniRef:UniRef50_P69799, UniRef:UniRef90_A0A0F1R454"
"PTS mannose transporter subunit IIC","manY",9,"GEGEGB_05565","BlastRules:WP_000406926, COG:COG3715, COG:G, EC:2.7.1.199, GO:0005886, GO:0009401, RefSeq:WP_000406918.1, SO:0001217, UniParc:UPI0000059D2F, UniRef:UniRef100_A0A5J0RJU6, UniRef:UniRef50_P69803, UniRef:UniRef90_P69803"
"PTS phosphocarrier protein NPr","npr",9,"GEGEGB_17070","RefSeq:WP_000216797.1, SO:0001217, UniParc:UPI000005A515, UniRef:UniRef100_A0A447TUL4, UniRef:UniRef50_A0A447TUL4, UniRef:UniRef90_A0A447TUL4"
"PTS sugar transporter subunit IIC","ulaA",9,"GEGEGB_10610","COG:COG3037, COG:G, SO:0001217, UniParc:UPI0001CC458B, UniRef:UniRef100_A0A725GAS2, UniRef:UniRef50_A9MIM1, UniRef:UniRef90_A9MIM1"
"PTS trehalose transporter subunit IIBC","treB",9,"GEGEGB_23685","COG:COG1264, COG:G, EC:2.7.1.201, GO:0008982, GO:0009401, GO:0015574, GO:0015771, GO:0016020, RefSeq:WP_000048823.1, SO:0001217, UniParc:UPI000005A976, UniRef:UniRef100_A0A725FUG6, UniRef:UniRef50_P36672, UniRef:UniRef90_A0A2I5HPB7"
"PadR family transcriptional regulator","padR",9,"GEGEGB_16485","SO:0001217, UniParc:UPI000005A4B1, UniRef:UniRef100_A0A3R0L2B6, UniRef:UniRef50_P64588, UniRef:UniRef90_A0A3E1XGT9"
"Palmitoleoyl-ACP: Kdo2-lipid-IV acyltransferase (lipid A biosynthesis)","lpxL",9,"GEGEGB_09330","COG:COG1560, COG:I, RefSeq:WP_000163974.1, SO:0001217, UniParc:UPI0000059FC1, UniRef:UniRef100_A0A725VPR6, UniRef:UniRef50_P45239, UniRef:UniRef90_E8XES3"
"Pathogenicity island protein",NA,9,"GEGEGB_06780","SO:0001217, UniParc:UPI0003E53F31, UniRef:UniRef100_A0A455RTX6, UniRef:UniRef50_A0A455RTX6, UniRef:UniRef90_A0A455RTX6"
"Penicillin V acylase or related amidase, Ntn superfamily","yxeI",9,"GEGEGB_07705","COG:COG3049, COG:MR, RefSeq:WP_247238700.1, SO:0001217, UniParc:UPI00044FE2EF, UniRef:UniRef100_A0A725GE09, UniRef:UniRef50_A0A0U1HXN3, UniRef:UniRef90_A0A379UQP2"
"Peptide methionine sulfoxide reductase MsrA","msrA",9,"GEGEGB_23550","COG:COG0225, COG:O, EC:1.8.4.11, GO:0005737, GO:0008113, GO:0034599, GO:0036211, GO:0036456, RefSeq:WP_000051467.1, SO:0001217, UniParc:UPI000005A95B, UniRef:UniRef100_B5FSB9, UniRef:UniRef50_Q8PNY8, UniRef:UniRef90_A9MEZ2"
"Peptide methionine sulfoxide reductase MsrB","msrB",9,"GEGEGB_06200","COG:COG0229, COG:O, EC:1.8.4.12, GO:0005737, GO:0006979, GO:0008270, GO:0030091, GO:0033743, RefSeq:WP_001519539.1, SO:0001217, UniParc:UPI000012F67E, UniRef:UniRef100_B5FJF9, UniRef:UniRef50_A7ZMP8, UniRef:UniRef90_A9MFH4"
"Periplasmic chaperone Spy, Spy/CpxP family","cpxP",9,"GEGEGB_13405","COG:COG3678, COG:O, RefSeq:WP_000788200.1, SO:0001217, UniParc:UPI000005A292, UniRef:UniRef100_A0A5W2B269, UniRef:UniRef50_R4YFQ2, UniRef:UniRef90_A0A3J4ML68"
"Periplasmic glycine betaine/choline-binding (lipo)protein of an ABC-type transport system (osmoprotectant binding protein)","osmF",9,"GEGEGB_03690","COG:COG1732, COG:M, RefSeq:WP_000155871.1, SO:0001217, UniParc:UPI0000059BEC, UniRef:UniRef100_A0A725VHK9, UniRef:UniRef50_A0A083ZTU6, UniRef:UniRef90_A0A344R0C6"
"Periplasmic murein peptide-binding protein","mppA",9,"GEGEGB_08380","COG:COG4166, COG:E, GO:0015031, GO:0015833, GO:0016020, GO:0030288, GO:0035351, GO:0042597, GO:0042938, GO:0042939, GO:0055052, GO:0140207, GO:1900750, GO:1904680, RefSeq:WP_001216556.1, SO:0001217, UniParc:UPI0000059F17, UniRef:UniRef100_A0A725VQ74, UniRef:UniRef50_P77348, UniRef:UniRef90_P77348"
"Periplasmic or exported protein",NA,9,"GEGEGB_14455","RefSeq:WP_000936688.1, SO:0001217, UniParc:UPI000190ABDE, UniRef:UniRef100_A0A725JTM6, UniRef:UniRef50_V7ITI8, UniRef:UniRef90_V7ITI8"
"Periplasmic trehalase","treA",9,"GEGEGB_05745","COG:COG1626, COG:G, EC:3.2.1.28, GO:0004555, GO:0005993, GO:0042597, GO:0071474, SO:0001217, UniParc:UPI00019106DA, UniRef:UniRef100_G5QZ02, UniRef:UniRef50_Q8XDH7, UniRef:UniRef90_P59765"
"Peroxiredoxin","tpx",9,"GEGEGB_08320","COG:COG2077, COG:O, RefSeq:WP_001764857.1, SO:0001217, UniParc:UPI000190A50C, UniRef:UniRef100_A0A726AEM3, UniRef:UniRef50_V7IQ29, UniRef:UniRef90_V7IQ29"
"Phage-related lysozyme (muramidase), GH24 family","rrrD",9,"GEGEGB_20680","COG:COG3772, COG:M, RefSeq:WP_001120250.1, SO:0001217, UniParc:UPI000005A75F, UniRef:UniRef100_A0A725G2Z6, UniRef:UniRef50_S5NKQ5, UniRef:UniRef90_G5SI20"
"PhoH-like protein","ybeZ",9,"GEGEGB_11620","COG:COG1702, COG:T, GO:0005524, GO:0005737, RefSeq:WP_001018045.1, SO:0001217, UniParc:UPI000160411C, UniRef:UniRef100_A0A8E6XB81, UniRef:UniRef50_P0A9K5, UniRef:UniRef90_P0A9K5"
"PhoP regulatory network protein YrbL","yrbL",9,"GEGEGB_17075","RefSeq:WP_000602196.1, SO:0001217, UniParc:UPI000005A516, UniRef:UniRef100_A0A5J2K7U0, UniRef:UniRef50_P64610, UniRef:UniRef90_A0A3K9ATY9"
"PhoP/PhoQ regulator MgrB","mgrB",9,"GEGEGB_05525","BlastRules:WP_000714547, GO:0005886, GO:0070298, RefSeq:WP_000714547.1, SO:0001217, UniParc:UPI0000059D26, UniRef:UniRef100_B5F3Q2, UniRef:UniRef50_B7LPM0, UniRef:UniRef90_B5F3Q2"
"PhoPQ-activated pathogenicity-related protein","pqaA",9,"GEGEGB_07725","COG:COG4287, COG:R, SO:0001217, UniParc:UPI000190A9AF, UniRef:UniRef100_A0A725G044, UniRef:UniRef50_V7IMV5, UniRef:UniRef90_V7IMV5"
"Phosphate propanoyltransferase","pduL",9,"GEGEGB_04395","COG:COG4869, COG:Q, EC:2.3.1.222, GO:0016747, GO:0031469, GO:0046872, GO:0051144, RefSeq:WP_000356724.1, SO:0001217, UniParc:UPI0000059C6B, UniRef:UniRef100_A0A726ADN4, UniRef:UniRef50_Q9XDN5, UniRef:UniRef90_Q9XDN5"
"Phosphoethanolamine transferase CptA","cptA",9,"GEGEGB_18480","COG:COG2194, COG:M, EC:2.7.-.-, GO:0005886, GO:0008484, GO:0009244, GO:0016776, KEGG:K19353, RefSeq:WP_001192092.1, SO:0001217, UniParc:UPI000005A5F7, UniRef:UniRef100_Q7CPC0, UniRef:UniRef50_P0CB39, UniRef:UniRef90_Q7CPC0"
"Phosphoethanolamine transferase for periplasmic glucans OpgE, AlkP superfamily","opgE",9,"GEGEGB_10820","COG:COG2194, COG:M, RefSeq:WP_001089326.1, SO:0001217, UniParc:UPI000005A0D3, UniRef:UniRef100_A0A725G105, UniRef:UniRef50_P75785, UniRef:UniRef90_A0A2I5HIQ9"
"Phosphopantetheinyl transferase","sfp",9,"GEGEGB_19400","COG:COG2091, COG:H, RefSeq:WP_000190678.1, SO:0001217, UniParc:UPI000005A692, UniRef:UniRef100_A0A8E6XDK7, UniRef:UniRef50_H5V1V0, UniRef:UniRef90_G5SIT2"
"Phosphoribosylamine--glycine ligase","purD",9,"GEGEGB_18205","COG:COG0151, COG:F, EC:6.3.4.13, GO:0004637, GO:0005524, GO:0006189, GO:0009113, GO:0046872, RefSeq:WP_000866776.1, SO:0001217, UniParc:UPI000005A5CD, UniRef:UniRef100_Q8Z334, UniRef:UniRef50_P15640, UniRef:UniRef90_Q8FB69"
"Phosphoribosylformylglycinamidine cyclo-ligase","purM",9,"GEGEGB_01955","COG:COG0150, COG:F, EC:6.3.3.1, GO:0004641, GO:0005524, GO:0005737, GO:0006189, RefSeq:WP_001767330.1, SO:0001217, UniParc:UPI0000059AB7, UniRef:UniRef100_Q8Z4R2, UniRef:UniRef50_Q7NMP5, UniRef:UniRef90_Q8XAC5"
"Phosphotransferase system IIB components","ptsG2",9,"GEGEGB_01550","COG:COG1264, COG:G, RefSeq:WP_000361658.1, SO:0001217, UniParc:UPI0000059A76, UniRef:UniRef100_A0A725JUB5, UniRef:UniRef50_A0A085UA99, UniRef:UniRef90_S5MT16"
"Phosphotransferase system sorbitol-specific IIB component","srlE",9,"GEGEGB_14400","COG:COG3732, COG:G, RefSeq:WP_000199043.1, SO:0001217, UniParc:UPI000005A338, UniRef:UniRef100_A0A725FX52, UniRef:UniRef50_P56580, UniRef:UniRef90_A0A3S4GGE1"
"Phosphotransferase system, galactitol-specific IIC component","sgcC",9,"GEGEGB_08040","COG:COG3775, COG:G, RefSeq:WP_000460840.1, SO:0001217, UniParc:UPI0000059EE0, UniRef:UniRef100_A0A726A7N7, UniRef:UniRef50_P39365, UniRef:UniRef90_A0A379QZB4"
"Phosphotransferase system, mannose/fructose/N-acetylgalactosamine-specific IIC component","manY",9,"GEGEGB_19795","COG:COG3715, COG:G, RefSeq:WP_000380259.1, SO:0001217, UniParc:UPI000005A6CE, UniRef:UniRef100_A0A5I0KST0, UniRef:UniRef50_D4E5J5, UniRef:UniRef90_A0A0C2DVD8"
"Phosphotransferase system, mannose/fructose/N-acetylgalactosamine-specific component IIB","agaB",9,"GEGEGB_19790","COG:COG3444, COG:G, RefSeq:WP_001284295.1, SO:0001217, UniParc:UPI000005A6CD, UniRef:UniRef100_E8XGW9, UniRef:UniRef50_A0A0C2AIH3, UniRef:UniRef90_A0A0C2AIH3"
