"Product","Gene_Name","Count","Example_Tag","DbXrefs"
"PTS sugar transporter subunit IIC","ulaA",9,"GEGEGB_10610","COG:COG3037, COG:G, SO:0001217, UniParc:UPI0001CC458B, UniRef:UniRef100_A0A725GAS2, UniRef:UniRef50_A9MIM1, UniRef:UniRef90_A9MIM1"
"PTS trehalose transporter subunit IIBC","treB",9,"GEGEGB_23685","COG:COG1264, COG:G, EC:2.7.1.201, GO:0008982, GO:0009401, GO:0015574, GO:0015771, GO:0016020, RefSeq:WP_000048823.1, SO:0001217, UniParc:UPI000005A976, UniRef:UniRef100_A0A725FUG6, UniRef:UniRef50_P36672, UniRef:UniRef90_A0A2I5HPB7"
"Palmitoleoyl-ACP: Kdo2-lipid-IV acyltransferase (lipid A biosynthesis)","lpxL",9,"GEGEGB_09330","COG:COG1560, COG:I, RefSeq:WP_000163974.1, SO:0001217, UniParc:UPI0000059FC1, UniRef:UniRef100_A0A725VPR6, UniRef:UniRef50_P45239, UniRef:UniRef90_E8XES3"
"Periplasmic glycine betaine/choline-binding (lipo)protein of an ABC-type transport system (osmoprotectant binding protein)","osmF",9,"GEGEGB_03690","COG:COG1732, COG:M, RefSeq:WP_000155871.1, SO:0001217, UniParc:UPI0000059BEC, UniRef:UniRef100_A0A725VHK9, UniRef:UniRef50_A0A083ZTU6, UniRef:UniRef90_A0A344R0C6"
"Periplasmic murein peptide-binding protein","mppA",9,"GEGEGB_08380","COG:COG4166, COG:E, GO:0015031, GO:0015833, GO:0016020, GO:0030288, GO:0035351, GO:0042597, GO:0042938, GO:0042939, GO:0055052, GO:0140207, GO:1900750, GO:1904680, RefSeq:WP_001216556.1, SO:0001217, UniParc:UPI0000059F17, UniRef:UniRef100_A0A725VQ74, UniRef:UniRef50_P77348, UniRef:UniRef90_P77348"
"Pilin structural protein SafD","safD",9,"GEGEGB_13470","RefSeq:WP_000266939.1, SO:0001217, UniParc:UPI000005A29D, UniRef:UniRef100_A0A8E7CNW2, UniRef:UniRef50_A0A0A7CYM5, UniRef:UniRef90_A0A3S4FC05"
"Putative permease PerM","perM",9,"GEGEGB_01985","COG:COG0628, COG:R, GO:0005886, GO:0055085, RefSeq:WP_000892056.1, SO:0001217, UniParc:UPI0000059ABD, UniRef:UniRef100_A0A0N1QU14, UniRef:UniRef50_P0AFJ0, UniRef:UniRef90_P0AFJ0"
"Putative salt-induced outer membrane protein YdiY","ydiY",9,"GEGEGB_06400","COG:COG3137, COG:M, KEGG:K07283, RefSeq:WP_000770984.1, SO:0001217, UniParc:UPI0000059DC2, UniRef:UniRef100_A0A725G224, UniRef:UniRef50_P76206, UniRef:UniRef90_A0A5I0Y1J5"
"RNA polymerase-binding protein DksA","dksA",9,"GEGEGB_01025","COG:COG1734, COG:K, GO:0005737, GO:0005829, GO:0006302, GO:0008270, GO:0010468, GO:0097216, RefSeq:WP_001155232.1, SO:0001217, UniParc:UPI0000059A21, UniRef:UniRef100_P0A1G6, UniRef:UniRef50_P0ABS3, UniRef:UniRef90_P0ABS3"
"SmdA family multidrug ABC transporter permease/ATP-binding protein","mdlB",9,"GEGEGB_12640","COG:COG1132, COG:V, GO:0005524, GO:0016020, GO:0055085, GO:0140359, RefSeq:WP_001235563.1, SO:0001217, UniParc:UPI000005A209, UniRef:UniRef100_A0A603BSK7, UniRef:UniRef50_P77265, UniRef:UniRef90_A0A2I5HJS9"
"SmdB family multidrug efflux ABC transporter permease/ATP-binding protein","mdlB",9,"GEGEGB_12635","COG:COG1132, COG:V, GO:0005524, GO:0016020, GO:0055085, GO:0140359, RefSeq:WP_001256093.1, SO:0001217, UniParc:UPI000005A208, UniRef:UniRef100_A0A725JV48, UniRef:UniRef50_P0AAG7, UniRef:UniRef90_A0A379QQ08"
"Solute-binding protein family 3/N-terminal domain-containing protein",NA,9,"GEGEGB_23245","RefSeq:WP_000922806.1, SO:0001217, UniParc:UPI000005A925, UniRef:UniRef100_A0A1S0ZIG1, UniRef:UniRef50_A0A0E1GUW8, UniRef:UniRef90_A9MFP7"
"Spore dipicolinate transporter SpoVV/YjiH/YlbJ, contains nucleoside recognition GATE domain","spoVV",9,"GEGEGB_24105","COG:COG3314, COG:DE, RefSeq:WP_000068750.1, SO:0001217, UniParc:UPI000005A9B8, UniRef:UniRef100_A0A6C7I748, UniRef:UniRef50_P39379, UniRef:UniRef90_A0A6C7HW67"
"SsrA-binding protein SmpB","smpB",9,"GEGEGB_13905","COG:COG0691, COG:O, GO:0003723, GO:0005737, GO:0070929, SO:0001217, UniParc:UPI00004F7F16, UniRef:UniRef100_B5F2A0, UniRef:UniRef50_A8GI46, UniRef:UniRef90_A4WDI4"
"Starvation-inducible outer membrane lipoprotein Slp","slp",9,"GEGEGB_05620","COG:COG3065, COG:M, RefSeq:WP_000290594.1, SO:0001217, UniParc:UPI0000059D3A, UniRef:UniRef100_A0A3Z3HRY5, UniRef:UniRef50_P0AA92, UniRef:UniRef90_A0A659MDA9"
"Sulfate-binding protein","sbp",9,"GEGEGB_18745","COG:COG1613, COG:P, GO:0042597, GO:1901681, GO:1902358, RefSeq:WP_000758715.1, SO:0001217, UniParc:UPI000005A626, UniRef:UniRef100_A0A3Z5TAY0, UniRef:UniRef50_P0AG78, UniRef:UniRef90_P0AG78"
"TRAP-type C4-dicarboxylate transport system, large permease component","dctQ",9,"GEGEGB_18805","COG:COG1593, COG:G, RefSeq:WP_000566798.1, SO:0001217, UniParc:UPI000005A630, UniRef:UniRef100_A0A725K548, UniRef:UniRef50_A0A083ZVS3, UniRef:UniRef90_A0A1X8W5K3"
"TRAP-type C4-dicarboxylate transport system, small permease component YiaM","dctM",9,"GEGEGB_18800","COG:COG3090, COG:G, RefSeq:WP_001091409.1, SO:0001217, UniParc:UPI000005A62F, UniRef:UniRef100_A0A725JVF9, UniRef:UniRef50_A0A447N0K8, UniRef:UniRef90_G5LWD3"
"TctA family transporter","tctA",9,"GEGEGB_14135","COG:COG3333, COG:R, KEGG:K07793, RefSeq:WP_000382024.1, SO:0001217, UniParc:UPI000005A310, UniRef:UniRef100_A0A3Y4FG95, UniRef:UniRef50_Q9I5H7, UniRef:UniRef90_A0A2I5HDB8"
"TonB system transport protein ExbD","exbD",9,"GEGEGB_16175","COG:COG0848, COG:U, GO:0005886, GO:0015031, GO:0022857, GO:0043213, GO:0055085, RefSeq:WP_001251476.1, SO:0001217, UniParc:UPI000005A47B, UniRef:UniRef100_A0A3T3ENE6, UniRef:UniRef50_P0ABV4, UniRef:UniRef90_P0ABV4"
"TonB system transport protein TonB","tonB",9,"GEGEGB_08720","COG:COG0810, COG:M, GO:0015031, GO:0015343, GO:0015891, GO:0030288, GO:0031992, GO:0043213, GO:0055085, GO:0098797, KEGG:K03832, RefSeq:WP_010989146.1, SO:0001217, UniParc:UPI0000059F54, UniRef:UniRef100_A0A725VNR7, UniRef:UniRef50_P25945, UniRef:UniRef90_P25945"
"TonB-dependent receptor PqqU","pqqU",9,"GEGEGB_07910","COG:COG1629, COG:P, SO:0001217, UniRef:UniRef50_P76115, UniRef:UniRef90_A0A6C6Z1H1"
"TonB-dependent vitamin B12 receptor BtuB","btuB",9,"GEGEGB_18420","COG:COG4206, COG:H, GO:0006811, GO:0009279, GO:0015288, GO:0015420, GO:0015889, GO:0046872, GO:0046930, RefSeq:WP_000591414.1, SO:0001217, UniParc:UPI000005A5EC, UniRef:UniRef100_Q8Z314, UniRef:UniRef50_Q57H87, UniRef:UniRef90_Q57H87"
"Transporter gate domain-containing protein",NA,9,"GEGEGB_24100","RefSeq:WP_000211979.1, SO:0001217, UniParc:UPI000005A9B7, UniRef:UniRef100_A0A3S4J6W0, UniRef:UniRef50_A0A3S4J6W0, UniRef:UniRef90_A0A3S4J6W0"
"Tripartite tricarboxylate transporter TctB family protein","tctB",9,"GEGEGB_14130","KEGG:K07794, RefSeq:WP_001283754.1, SO:0001217, UniParc:UPI000005A30F, UniRef:UniRef100_A0A5I5S6V0, UniRef:UniRef50_C7BT73, UniRef:UniRef90_A0A2I5HDM8"
"Tripartite-type tricarboxylate transporter, extracytoplasmic receptor component TctC","tctC",9,"GEGEGB_14125","COG:C, COG:COG3181, RefSeq:WP_000744418.1, SO:0001217, UniParc:UPI000005A30E, UniRef:UniRef100_A0A725VHJ8, UniRef:UniRef50_B9YZ42, UniRef:UniRef90_A0A0J1LU21"
"Trk system potassium transporter TrkA","trkA",9,"GEGEGB_21645","COG:COG0569, COG:PT, GO:0005886, GO:0006813, GO:0015079, GO:0016020, RefSeq:WP_000691374.1, SO:0001217, UniParc:UPI000005A805, UniRef:UniRef100_P0A2K0, UniRef:UniRef50_P39448, UniRef:UniRef90_P0A2K0"
"Trk system potassium transporter TrkH","trkH",9,"GEGEGB_17470","COG:COG0168, COG:P, GO:0005267, GO:0005886, GO:0015379, GO:0030955, GO:0071805, RefSeq:WP_000545686.1, SO:0001217, UniParc:UPI000005A550, UniRef:UniRef100_A0A725FZ48, UniRef:UniRef50_Q87TN7, UniRef:UniRef90_Q9L6L2"
"Type IV pilus assembly protein PilN","pilN",9,"GEGEGB_21220","COG:COG3166, COG:NW, RefSeq:WP_000951390.1, SO:0001217, UniParc:UPI000005A7C1, UniRef:UniRef100_G5LUQ4, UniRef:UniRef50_A0A078LQT9, UniRef:UniRef90_G5LUQ4"
"Type IV pilus assembly protein, ATPase PilM","pilM",9,"GEGEGB_21215","COG:COG4972, COG:NW, KEGG:K12288, RefSeq:WP_000874746.1, SO:0001217, UniParc:UPI000005A7C0, UniRef:UniRef100_A0A725K285, UniRef:UniRef50_A0A0K0HEX2, UniRef:UniRef90_A0A6C8G3E0"
"UDP-2,3-diacylglucosamine diphosphatase","lpxH",9,"GEGEGB_12240","COG:COG2908, COG:M, EC:3.6.1.54, GO:0005737, GO:0008758, GO:0009245, GO:0019897, GO:0030145, RefSeq:WP_000212291.1, SO:0001217, UniParc:UPI000005A1C4, UniRef:UniRef100_Q8Z8P7, UniRef:UniRef50_A6T5R0, UniRef:UniRef90_Q8Z8P7"
"UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase","lpxD",9,"GEGEGB_01210","COG:COG1044, COG:M, EC:2.3.1.191, GO:0009245, GO:0016410, GO:0103118, RefSeq:WP_001139265.1, SO:0001217, UniParc:UPI0000059A40, UniRef:UniRef100_Q5PD75, UniRef:UniRef50_P21645, UniRef:UniRef90_P21645"
"UDP-3-O-acyl-N-acetylglucosamine deacetylase","lpxC",9,"GEGEGB_00730","COG:COG0774, COG:M, EC:3.5.1.108, GO:0008759, GO:0009245, GO:0046872, GO:0103117, RefSeq:WP_000595474.1, SO:0001217, UniParc:UPI00000599E9, UniRef:UniRef100_Q8Z9G5, UniRef:UniRef50_Q6LMG1, UniRef:UniRef90_A8ALK0"
"UPF0053 inner membrane protein YfjD","yfjD",9,"GEGEGB_13865","COG:COG4536, COG:P, GO:0005886, GO:0050660, RefSeq:WP_001519447.1, SO:0001217, UniParc:UPI000005A2E0, UniRef:UniRef100_A0A5I4TQ24, UniRef:UniRef50_P37908, UniRef:UniRef90_P37908"
"UPF0053 inner membrane protein YgdQ","ygdQ",9,"GEGEGB_15320","COG:COG0861, COG:P, GO:0005886, RefSeq:WP_000895635.1, SO:0001217, UniParc:UPI000005A3E4, UniRef:UniRef100_E8X9H8, UniRef:UniRef50_P67129, UniRef:UniRef90_P67129"
"UPF0126 inner membrane protein YicG","yicG",9,"GEGEGB_19990","COG:COG2860, COG:S, GO:0005886, RefSeq:WP_000924333.1, SO:0001217, UniParc:UPI000005A6E5, UniRef:UniRef100_A0A725K4X1, UniRef:UniRef50_P0AGM3, UniRef:UniRef90_P0AGM3"
"UPF0283 membrane protein YcjF","ycjF",9,"GEGEGB_08420","COG:COG3768, COG:S, GO:0005886, RefSeq:WP_001294457.1, SO:0001217, UniParc:UPI0000059F1C, UniRef:UniRef100_Q8Z7A9, UniRef:UniRef50_Q8ZP64, UniRef:UniRef90_Q8ZP64"
"UPF0299 membrane protein YohJ","yohJ",9,"GEGEGB_03610","COG:COG1380, COG:R, GO:0005886, KEGG:K06518, RefSeq:WP_000045719.1, SO:0001217, UniParc:UPI0000059BDD, UniRef:UniRef100_B5EYN1, UniRef:UniRef50_Q32EM1, UniRef:UniRef90_Q32EM1"
"UPF0391 membrane protein YtjA","ytjA",9,"GEGEGB_24325","GO:0005886, RefSeq:WP_000490276.1, SO:0001217, UniParc:UPI00004F8360, UniRef:UniRef100_B5F518, UniRef:UniRef50_B5F518, UniRef:UniRef90_B5F518"
"UPF0756 membrane protein YeaL","yeaL",9,"GEGEGB_06135","COG:COG2707, COG:S, GO:0005886, RefSeq:WP_000460698.1, SO:0001217, UniParc:UPI0000059D98, UniRef:UniRef100_B5F873, UniRef:UniRef50_A9MFI4, UniRef:UniRef90_A9MFI4"
"Uncharacterized ABC transporter ATP-binding protein YadG","yadG",9,"GEGEGB_00940","COG:COG1131, COG:V, GO:0005524, GO:0005886, GO:0010165, GO:0016887, RefSeq:WP_000150629.1, SO:0001217, UniParc:UPI0000059A10, UniRef:UniRef100_A0A3Y8N8L1, UniRef:UniRef50_P36879, UniRef:UniRef90_P36879"
"Uncharacterized MFS-type transporter YhhS","yhhS",9,"GEGEGB_20835","COG:COG2814, COG:G, GO:0005886, GO:0022857, RefSeq:WP_014341530.1, SO:0001217, UniParc:UPI000013B256, UniRef:UniRef100_Q8Z257, UniRef:UniRef50_P37621, UniRef:UniRef90_Q8Z257"
"Uncharacterized inner membrane transporter YicL","yicL",9,"GEGEGB_19820","COG:COG0697, COG:GER, GO:0005886, RefSeq:WP_000535970.1, SO:0001217, UniParc:UPI000005A6D3, UniRef:UniRef100_A0A1S0ZN64, UniRef:UniRef50_O33787, UniRef:UniRef90_O33787"
"Uncharacterized membrane protein AbrB, regulator of aidB expression","abrB",9,"GEGEGB_11315","COG:COG3180, COG:R, RefSeq:WP_001122050.1, SO:0001217, UniParc:UPI000005A127, UniRef:UniRef100_A0A725GA04, UniRef:UniRef50_P75747, UniRef:UniRef90_A0A344R473"
"Uncharacterized membrane protein PF0508, contains N-terminal glycosyltransferase domain of PMT family",NA,9,"GEGEGB_08120","COG:COG5305, COG:R, EC:2.4.1.-, KEGG:K14340, RefSeq:WP_001764195.1, SO:0001217, UniParc:UPI0000059EEF, UniRef:UniRef100_A0A726A7M8, UniRef:UniRef50_A0A2I5HHB5, UniRef:UniRef90_A0A2I5HHB5"
"Uncharacterized membrane protein YeiH","yadS",9,"GEGEGB_01090","COG:COG2860, COG:S, RefSeq:WP_000964234.1, SO:0001217, UniParc:UPI0000059A2C, UniRef:UniRef100_A0A8E7CQP8, UniRef:UniRef50_Q9KPI5, UniRef:UniRef90_A0A2P5GMJ5"
"Uncharacterized membrane protein YhhN","yhhN",9,"GEGEGB_20865","COG:COG3714, COG:S, RefSeq:WP_000964735.1, SO:0001217, UniParc:UPI000005A77F, UniRef:UniRef100_A0A5I0RQM5, UniRef:UniRef50_P0ADJ1, UniRef:UniRef90_A0A212INY8"
"Uncharacterized membrane protein YiaA","yiaA",9,"GEGEGB_20400","COG:COG4682, COG:S, RefSeq:WP_000340932.1, SO:0001217, UniParc:UPI000005A733, UniRef:UniRef100_A0A3V7PG31, UniRef:UniRef50_A0A248K574, UniRef:UniRef90_A0A3Y0W2R6"
"Uncharacterized membrane protein YphA, DoxX/SURF4 family","doxX",9,"GEGEGB_16585","COG:COG2259, COG:S, SO:0001217, UniParc:UPI000005A4C1, UniRef:UniRef100_A0A725VFX0, UniRef:UniRef50_P42619, UniRef:UniRef90_A0A2P5GNR0"
"Uncharacterized membrane protein YqaA, VTT domain","ygaA",9,"GEGEGB_14325","COG:COG1238, COG:S, RefSeq:WP_001279499.1, SO:0001217, UniParc:UPI000005A32C, UniRef:UniRef100_A0A8E6XC71, UniRef:UniRef50_P0ADR0, UniRef:UniRef90_V1GYD3"
"Uncharacterized membrane protein YqgA, affects biofilm formation","yqgA",9,"GEGEGB_15945","COG:COG1811, COG:S, KEGG:K07150, RefSeq:WP_000234466.1, SO:0001217, UniParc:UPI000005A44F, UniRef:UniRef100_A0A7D8ESH6, UniRef:UniRef50_A0A090V3D6, UniRef:UniRef90_A0A248K5G8"
"Uncharacterized membrane protein YqjE","yqjE",9,"GEGEGB_16575","COG:COG5393, COG:S, RefSeq:WP_000785626.1, SO:0001217, UniParc:UPI000005A4BF, UniRef:UniRef100_A0A8E6XCT5, UniRef:UniRef50_A0A090VRE1, UniRef:UniRef90_A0A3I8FQC7"
"Uncharacterized transporter YdhK","ydhK",9,"GEGEGB_06940","COG:COG1289, COG:S, GO:0005886, GO:0022857, RefSeq:WP_000777620.1, SO:0001217, UniParc:UPI0000059E1D, UniRef:UniRef100_Q8Z6P7, UniRef:UniRef50_Q8ZPN4, UniRef:UniRef90_Q8ZPN4"
"Virulence factor SrfB-related protein","srfB",9,"GEGEGB_07945","COG:COG4457, COG:Q, RefSeq:WP_000960825.1, SO:0001217, UniParc:UPI0000059ECE, UniRef:UniRef100_A0A6C6Z175, UniRef:UniRef50_A8AGK4, UniRef:UniRef90_A0A6C6Z175"
"YajQ family cyclic di-GMP-binding protein","yajQ",9,"GEGEGB_12800","COG:COG1666, COG:T, GO:0000166, GO:0005829, RefSeq:WP_001138911.1, SO:0001217, UniParc:UPI000160899C, UniRef:UniRef100_Q8Z8W2, UniRef:UniRef50_Q8Z8W2, UniRef:UniRef90_Q8Z8W2"
"YbaL family putative K(+) efflux transporter","ybaL",9,"GEGEGB_12485","COG:COG4651, COG:P, GO:0000166, GO:0005886, GO:0006813, GO:0008324, GO:0015297, GO:0016020, GO:0051139, GO:1902600, RefSeq:WP_000546190.1, SO:0001217, UniParc:UPI000005A1EB, UniRef:UniRef100_A0A0H2VPU2, UniRef:UniRef50_P39830, UniRef:UniRef90_P39830"
"YijD family membrane protein","yijD",9,"GEGEGB_18430","RefSeq:WP_000813838.1, SO:0001217, UniParc:UPI000005A5EE, UniRef:UniRef100_A0A5U1IKU3, UniRef:UniRef50_P0AF42, UniRef:UniRef90_A0A635B818"
"YmiA family putative membrane protein","ymiA",9,"GEGEGB_08590","RefSeq:WP_001138871.1, SO:0001217, UniParc:UPI0001603E09, UniRef:UniRef100_A0A455RT15, UniRef:UniRef50_P0CB62, UniRef:UniRef90_Q57NU6"
"YnhF family membrane protein","ynhF",9,"GEGEGB_06890","RefSeq:WP_000102277.1, SO:0001217, UniParc:UPI000169E83E, UniRef:UniRef100_A0A6C8GMV8, UniRef:UniRef50_F4VFP8, UniRef:UniRef90_A0A6C8GMV8"
"YshB family small membrane protein","yshB",9,"GEGEGB_19070","RefSeq:WP_001578131.1, SO:0001217, UniParc:UPI0001F5CCD4, UniRef:UniRef100_A0A1S0Z836, UniRef:UniRef50_A0A1S0Z836, UniRef:UniRef90_A0A1S0Z836"
"acetate uptake transporter","satP",9,"GEGEGB_00045","COG:C, COG:COG1584, GO:0016020, RefSeq:WP_000528527.1, SO:0001217, UniParc:UPI000005996A, UniRef:UniRef100_A0A3Z3I0J5, UniRef:UniRef50_S6CYC6, UniRef:UniRef90_A0A0L0AFE2"
"acyl-ACP--UDP-N-acetylglucosamine O-acyltransferase","lpxA",9,"GEGEGB_01220","COG:COG1043, COG:M, EC:2.3.1.129, GO:0005737, GO:0008610, GO:0008780, GO:0009245, RefSeq:WP_000566033.1, SO:0001217, UniParc:UPI0000059A42, UniRef:UniRef100_Q8Z9A2, UniRef:UniRef50_B4F258, UniRef:UniRef90_Q8X8X8"
"alternative ribosome rescue aminoacyl-tRNA hydrolase ArfB","arfB",9,"GEGEGB_01295","COG:COG1186, COG:J, EC:3.1.1.29, GO:0003747, GO:0006415, RefSeq:WP_000560526.1, SO:0001217, UniParc:UPI0000059A4E, UniRef:UniRef100_A0A725JX70, UniRef:UniRef50_P40711, UniRef:UniRef90_A0A2I5HKG9"
"amino acid permease","yifK",9,"GEGEGB_17760","COG:COG1113, COG:E, GO:0005886, GO:0006865, GO:0016020, GO:0055085, RefSeq:WP_000818378.1, SO:0001217, UniParc:UPI000005A583, UniRef:UniRef100_P0A190, UniRef:UniRef50_P54425, UniRef:UniRef90_P27837"
"ammonium transporter AmtB","amtB",9,"GEGEGB_12625","COG:COG0004, COG:P, GO:0005886, GO:0008519, GO:0072488, KEGG:K03320, RefSeq:WP_000684912.1, SO:0001217, UniParc:UPI000005A206, UniRef:UniRef100_A0A3V7PDU4, UniRef:UniRef50_A0A0A2VTL5, UniRef:UniRef90_C0Q7Y8"
"anaerobic C4-dicarboxylate transporter DcuA","dcuA",9,"GEGEGB_23120","BlastRules:WP_000961959, COG:COG2704, COG:G, GO:0005886, GO:0015297, GO:0015556, RefSeq:WP_000637594.1, SO:0001217, UniParc:UPI000005A90B, UniRef:UniRef100_A0A725G308, UniRef:UniRef50_P0ABN7, UniRef:UniRef90_P0ABN7"
"anaerobic C4-dicarboxylate transporter DcuB","dcuB",9,"GEGEGB_22225","BlastRules:WP_000899522, COG:COG2704, COG:G, GO:0005886, GO:0015297, GO:0015556, RefSeq:WP_000899146.1, SO:0001217, UniParc:UPI000005A873, UniRef:UniRef100_A0A725VG42, UniRef:UniRef50_P0ABP1, UniRef:UniRef90_P0ABP1"
"anaerobic C4-dicarboxylate transporter DcuC","dcuC",9,"GEGEGB_11805","COG:C, COG:COG3069, GO:0005886, GO:0015297, GO:0015556, GO:0015740, RefSeq:WP_000958619.1, SO:0001217, UniParc:UPI000005A178, UniRef:UniRef100_A0A655CJW1, UniRef:UniRef50_Q9KLS6, UniRef:UniRef90_P0ABP4"
"arginine ABC transporter ATP-binding protein ArtP","artP",9,"GEGEGB_10575","COG:COG4161, COG:E, EC:7.4.2.1, GO:0003333, GO:0005524, GO:0005886, GO:0015424, GO:0016887, GO:0043190, RefSeq:WP_000027186.1, SO:0001217, UniParc:UPI000005A0A3, UniRef:UniRef100_E8XCN6, UniRef:UniRef50_P45092, UniRef:UniRef90_P0AAF8"
"arginine ABC transporter permease ArtM","artM",9,"GEGEGB_10590","COG:COG4160, COG:E, EC:7.4.2.1, GO:0006865, GO:0016020, GO:0022857, GO:0043190, GO:0071705, KEGG:K09998, RefSeq:WP_000895396.1, SO:0001217, UniParc:UPI000005A0A6, UniRef:UniRef100_A0A8E6XB42, UniRef:UniRef50_P0AE32, UniRef:UniRef90_P0AE32"
"arginine ABC transporter permease ArtQ","artQ",9,"GEGEGB_10585","COG:COG4215, COG:E, EC:7.4.2.1, GO:0006865, GO:0016020, GO:0022857, GO:0043190, GO:0055085, GO:0071705, RefSeq:WP_001001677.1, SO:0001217, UniParc:UPI000005A0A5, UniRef:UniRef100_A0A8E6Y6L8, UniRef:UniRef50_P0AE35, UniRef:UniRef90_P0AE35"
"arginine ABC transporter substrate-binding protein ArtI","artI",9,"GEGEGB_10580","COG:COG0834, COG:ET, GO:0015276, GO:0015424, GO:0016020, GO:0030288, GO:0042597, GO:0043190, GO:0055052, GO:0097638, RefSeq:WP_000756592.1, SO:0001217, UniParc:UPI000005A0A4, UniRef:UniRef100_A0A0H2VMP7, UniRef:UniRef50_P30859, UniRef:UniRef90_P30859"
"aromatic amino acid transporter AroP","aroP",9,"GEGEGB_00825","COG:COG1113, COG:E, GO:0005886, GO:0006865, GO:0055085, RefSeq:WP_000378215.1, SO:0001217, UniParc:UPI00000599FB, UniRef:UniRef100_P0A188, UniRef:UniRef50_P24207, UniRef:UniRef90_P15993"
"autoinducer 2 ABC transporter ATP-binding protein LsrA","lsrA",9,"GEGEGB_18690","COG:COG1129, COG:G, EC:7.6.2.-, EC:7.6.2.13, GO:0005524, GO:0005886, GO:0016020, GO:0016887, GO:0042626, GO:1905887, RefSeq:WP_001167253.1, SO:0001217, UniParc:UPI000005A61C, UniRef:UniRef100_Q8Z2X5, UniRef:UniRef50_Q1C138, UniRef:UniRef90_Q8ZKQ4"
"autoinducer 2 ABC transporter permease LsrC","lsrC",9,"GEGEGB_18685","COG:COG1172, COG:G, EC:7.6.2.-, GO:0005886, GO:0022857, GO:0055085, RefSeq:WP_000911130.1, SO:0001217, UniParc:UPI000005A61B, UniRef:UniRef100_Q8Z2X6, UniRef:UniRef50_A1JJ54, UniRef:UniRef90_Q8Z2X6"
"autoinducer 2 ABC transporter permease LsrD","lsrD",9,"GEGEGB_18680","BlastRules:WP_001681907, COG:COG1172, COG:G, EC:7.6.2.-, GO:0005886, GO:0022857, SO:0001217, UniParc:UPI0001813305, UniRef:UniRef100_Q8Z2X7, UniRef:UniRef50_Q8X504, UniRef:UniRef90_Q8Z2X7"
"autoinducer 2 ABC transporter substrate-binding protein LsrB","lsrB",9,"GEGEGB_18675","COG:COG1879, COG:G, EC:7.6.2.-, GO:0030288, GO:0043190, RefSeq:WP_000090739.1, SO:0001217, UniParc:UPI000005A619, UniRef:UniRef100_Q8Z2X8, UniRef:UniRef50_Q8ZKQ1, UniRef:UniRef90_Q8ZKQ1"
"autotransporter assembly complex protein TamA","tamA",9,"GEGEGB_23555","BlastRules:WP_001120231, COG:COG0729, COG:M, GO:0009279, RefSeq:WP_001120231.1, SO:0001217, UniParc:UPI000005A95C, UniRef:UniRef100_E1WAU4, UniRef:UniRef50_E1WAU4, UniRef:UniRef90_E1WAU4"
"autotransporter assembly complex protein TamB","tamB",9,"GEGEGB_23560","BlastRules:WP_000060815, COG:COG2911, COG:U, RefSeq:WP_000060812.1, SO:0001217, UniParc:UPI000005A95D, UniRef:UniRef100_A0A725FWM6, UniRef:UniRef50_P39321, UniRef:UniRef90_V1H6H0"
"bifunctional 2-methylcitrate dehydratase/aconitate hydratase","prpD",9,"GEGEGB_13150","BlastRules:WP_001272709, COG:COG2079, COG:G, EC:4.2.1.3, EC:4.2.1.79, GO:0003994, GO:0006099, GO:0019543, GO:0019629, GO:0019679, GO:0047547, GO:0047780, GO:0051537, RefSeq:WP_001272711.1, SO:0001217, UniParc:UPI000005A265, UniRef:UniRef100_A0A726AA16, UniRef:UniRef50_Q6C354, UniRef:UniRef90_P74840"
"bifunctional aconitate hydratase 2/2-methylisocitrate dehydratase","acnB",9,"GEGEGB_00875","COG:C, COG:COG1049, EC:4.2.1.3, EC:4.2.1.99, GO:0003729, GO:0003730, GO:0003994, GO:0005829, GO:0006099, GO:0019629, GO:0046872, GO:0047456, GO:0047780, GO:0051539, RefSeq:WP_000888954.1, SO:0001217, UniParc:UPI0000059A03, UniRef:UniRef100_A0A725VD20, UniRef:UniRef50_P36683, UniRef:UniRef90_P36683"
"bifunctional isocitrate dehydrogenase kinase/phosphatase","aceK",9,"GEGEGB_21745","COG:COG4579, COG:T, EC:2.7.11.5, EC:3.1.3.-, GO:0004674, GO:0004721, GO:0005524, GO:0005737, GO:0006006, GO:0006097, GO:0006099, GO:0008772, GO:0016310, GO:0016791, RefSeq:WP_001137261.1, SO:0001217, UniParc:UPI000005A814, UniRef:UniRef100_Q8Z1V8, UniRef:UniRef50_Q8X607, UniRef:UniRef90_Q8Z1V8"
"branched chain amino acid ABC transporter permease LivM","livM",9,"GEGEGB_20930","BlastRules:WP_000803813, COG:COG4177, COG:E, EC:7.4.2.2, RefSeq:WP_000803764.1, SO:0001217, UniParc:UPI000005A78B, UniRef:UniRef100_A0A3U7XMI9, UniRef:UniRef50_P22729, UniRef:UniRef90_A0A659RGD1"
"branched-chain amino acid transporter carrier protein BrnQ","brnQ",9,"GEGEGB_12995","COG:COG1114, COG:E, GO:0005304, GO:0005886, GO:0015188, GO:0015190, GO:0015818, GO:0015820, GO:0015829, RefSeq:WP_000149625.1, SO:0001217, UniParc:UPI000005A24A, UniRef:UniRef100_P0A1W9, UniRef:UniRef50_P0A1W9, UniRef:UniRef90_P0A1W9"
