Gene,Non-unique Gene name,Annotation,GCF_000022165.1,GCF_000020925.1,GCF_000020885.1,GCF_000007545.1,GCF_000170215.1,GCF_000020745.1,GCF_000171535.2,GCF_000171415.1,GCF_000171515.1
wzzfepE,wzz(fepE);,LPS O-antigen length regulator Wzz(fepE);Wzz/FepE/Etk N-terminal domain-containing protein,AJBGEP_03060,HFCAGB_03385,BEJGEH_02985,GEGEGB_12015;GEGEGB_12010,ODDLKH_05395,LNHIMF_03660,ONMMKP_07845,IKCLMC_12050,PKJKAM_15490
group_2493,minD,MinD superfamily P-loop ATPase contains an inserted ferredoxin domain,AJBGEP_13520,HFCAGB_14040,BEJGEH_12800,GEGEGB_01795,ODDLKH_15185,LNHIMF_13335,ONMMKP_21580,IKCLMC_06260,PKJKAM_13700
group_2492,;frwB,PTS system protein fructose-like 2C component;PTS fructose transporter subunit IIBC;Phosphotransferase system fructose-specific component IIB,AJBGEP_20320,HFCAGB_20550;HFCAGB_20555,BEJGEH_19555,GEGEGB_19355,ODDLKH_21575,LNHIMF_19550,ONMMKP_14640,IKCLMC_12645,PKJKAM_08130
group_2491,,DUF1488 domain-containing protein,AJBGEP_17920,HFCAGB_18195,BEJGEH_17155,GEGEGB_21690,ODDLKH_19240,LNHIMF_17270,ONMMKP_17200,IKCLMC_00775,PKJKAM_00615
tsaC,tsaC,L-threonylcarbamoyladenylate synthase type 1 TsaC,AJBGEP_17930,HFCAGB_18205,BEJGEH_17165,GEGEGB_21680,ODDLKH_19250,LNHIMF_17280,ONMMKP_17190,IKCLMC_00765,PKJKAM_00605
group_2488,,Major facilitator superfamily (MFS) profile domain-containing protein,AJBGEP_01120,HFCAGB_01120,BEJGEH_01170,GEGEGB_01130,ODDLKH_03485,LNHIMF_01100,ONMMKP_09770,IKCLMC_14930,PKJKAM_03470
prfA,prfA;,peptide chain release factor 1;Peptide chain release factor 1,AJBGEP_09340,HFCAGB_07515,BEJGEH_06460,GEGEGB_05855,ODDLKH_11340;ODDLKH_11335,LNHIMF_09235,ONMMKP_01305,IKCLMC_21960,PKJKAM_22030
group_2486,traB,Uncharacterized conserved protein YbaP TraB family,AJBGEP_02590,HFCAGB_02615,BEJGEH_02545,GEGEGB_12450,ODDLKH_04930,LNHIMF_02615,ONMMKP_08305,IKCLMC_11305,PKJKAM_16230
yfaS,yfaS,Uncharacterized conserved protein YfaS alpha-2-macroglobulin family,AJBGEP_13545,HFCAGB_14065;HFCAGB_14070,BEJGEH_12825,GEGEGB_01765,ODDLKH_15210,LNHIMF_13360,ONMMKP_21555,IKCLMC_06235,PKJKAM_13675
bcfG,bcfG;,fimbrial chaperone BcfG;Pili assembly chaperone,AJBGEP_00140,HFCAGB_00145,BEJGEH_00145,GEGEGB_00155,ODDLKH_02520,LNHIMF_00140,ONMMKP_10775,IKCLMC_15905,PKJKAM_10400
hyaE,hyaE,hydrogenase-1 operon protein HyaE,AJBGEP_09410,HFCAGB_07440,BEJGEH_06380,GEGEGB_05780,ODDLKH_11410,LNHIMF_09310,ONMMKP_01235,IKCLMC_21880,PKJKAM_21960
yeaD,yeaD,D-hexose-6-phosphate mutarotase;Putative glucose-6-phosphate 1-epimerase,AJBGEP_06830,HFCAGB_10035,BEJGEH_09000,GEGEGB_06185;GEGEGB_06190,ODDLKH_08830,LNHIMF_06695,ONMMKP_04225,IKCLMC_24445,PKJKAM_02280
group_2481,aslB,anaerobic sulfatase maturase,AJBGEP_06820,HFCAGB_10045,BEJGEH_09010,GEGEGB_06175,ODDLKH_08820,LNHIMF_06685,ONMMKP_04235,IKCLMC_24455,PKJKAM_02290
group_2480,,Cytoplasmic protein,AJBGEP_06720,HFCAGB_10145,BEJGEH_09115,GEGEGB_06060,ODDLKH_08720,LNHIMF_06580,ONMMKP_04340,7_refound_98_pseudo,PKJKAM_02390
group_2479,csgD,DNA-binding transcriptional regulator CsgD family,AJBGEP_06710,HFCAGB_10155,BEJGEH_09125,GEGEGB_06050,ODDLKH_08710,LNHIMF_06570,ONMMKP_04350,IKCLMC_04925,PKJKAM_02400
hpaE,;hpaE,5-carboxymethyl-2-hydroxymuconate semialdehyde dehydrogenase;aldehyde dehydrogenase family protein,AJBGEP_05500,HFCAGB_05750,BEJGEH_05030,GEGEGB_09615;GEGEGB_09610,ODDLKH_07530,LNHIMF_05675,ONMMKP_05200,IKCLMC_02985,PKJKAM_03230
garD,;garD,Galactarate dehydratase (L-threo-forming);galactarate dehydratase,AJBGEP_17155,HFCAGB_17430,BEJGEH_16400,GEGEGB_16695,ODDLKH_18455,LNHIMF_16530,ONMMKP_17930,IKCLMC_18005,PKJKAM_08905
ycaO,ycaO,30S ribosomal protein S12 methylthiotransferase accessory factor YcaO,AJBGEP_04840,HFCAGB_05105,BEJGEH_04665,GEGEGB_10340,ODDLKH_07165,LNHIMF_05325,ONMMKP_05865,IKCLMC_07700,PKJKAM_04780
group_2475,,Toxin Ldr type I toxin-antitoxin system,AJBGEP_02160,HFCAGB_02175,BEJGEH_02095,GEGEGB_12915,ODDLKH_04495,LNHIMF_02185,ONMMKP_08735,IKCLMC_10865,PKJKAM_16665
ptsJ,ptsJ,transcriptional regulator PtsJ,AJBGEP_13055,HFCAGB_13560,BEJGEH_12325,GEGEGB_02290,ODDLKH_14735,LNHIMF_12885,ONMMKP_22045,IKCLMC_06715,PKJKAM_14160
group_2474,fimA,type 1 fimbrial protein subunit FimA,AJBGEP_02830,HFCAGB_02855,BEJGEH_02785,GEGEGB_12210,ODDLKH_05170,LNHIMF_02760,ONMMKP_08065,IKCLMC_11545,PKJKAM_15990
group_2473,,hypothetical protein,AJBGEP_24020,HFCAGB_24125,BEJGEH_23450,GEGEGB_24430,ODDLKH_02315,LNHIMF_23260,ONMMKP_10980,IKCLMC_16110,PKJKAM_10610
group_2472,,DUF2511 domain-containing protein,AJBGEP_09855,HFCAGB_06720,BEJGEH_05965,GEGEGB_05355,ODDLKH_11840,LNHIMF_09750,ONMMKP_00785,IKCLMC_21405,PKJKAM_21470
lsrG,lsrG,(4S)-4-hydroxy-5-phosphonooxypentane-23-dione isomerase,AJBGEP_21455,HFCAGB_21675,BEJGEH_20720,GEGEGB_18665,ODDLKH_22705,LNHIMF_20675,ONMMKP_13540,IKCLMC_03625,PKJKAM_07025
orgC,orgC,type III secretion system effector OrgC,AJBGEP_15170,HFCAGB_15405,BEJGEH_14305,GEGEGB_14570,ODDLKH_16480,LNHIMF_14545,ONMMKP_20030,IKCLMC_19990,PKJKAM_12570
group_2470,;uhpC,MFS transporter;Sugar phosphate permease,AJBGEP_11825,HFCAGB_12350,BEJGEH_11170,GEGEGB_03510;GEGEGB_03515,ODDLKH_13505,LNHIMF_11740,ONMMKP_23220,IKCLMC_08960,PKJKAM_19680
ychJ,ychJ,Protein YchJ;YchJ family protein,AJBGEP_09240,HFCAGB_07615,BEJGEH_06560,GEGEGB_08815,ODDLKH_11235,LNHIMF_09135,ONMMKP_01405,IKCLMC_22060,PKJKAM_22130
group_2468,aRA1,Aldo/keto reductase related to diketogulonate reductase,AJBGEP_08825,HFCAGB_08025,BEJGEH_06965,GEGEGB_08365,ODDLKH_10830,LNHIMF_08705,ONMMKP_01815,IKCLMC_22465,PKJKAM_22545
group_2467,phnO,aminoalkylphosphonate N-acetyltransferase,AJBGEP_22490,HFCAGB_22640,BEJGEH_21755,GEGEGB_22145,ODDLKH_00730,LNHIMF_21875,ONMMKP_12525,IKCLMC_05465,PKJKAM_06165
group_2466,araJ;,Protein AraJ;hypothetical protein;MFS transporter;MFS transporter AraJ,AJBGEP_02065,HFCAGB_02080,BEJGEH_02015,GEGEGB_13025;GEGEGB_13020,ODDLKH_04405,LNHIMF_02105,ONMMKP_08830;ONMMKP_08835,IKCLMC_10775,PKJKAM_16760
spaN,spaN,SPI-1 type III secretion system protein SpaN,AJBGEP_15290,HFCAGB_15525,BEJGEH_14425,GEGEGB_14690,ODDLKH_16600,LNHIMF_14665,ONMMKP_19905,IKCLMC_19870,PKJKAM_12450
group_2465,yhaK,Redox-sensitive bicupin YhaK pirin superfamily,AJBGEP_04725,HFCAGB_04990,BEJGEH_04555,GEGEGB_10460,ODDLKH_07050,LNHIMF_05210,ONMMKP_05980,IKCLMC_07585,PKJKAM_04895
group_2464,yajL,protein deglycase YajL,AJBGEP_02265,HFCAGB_02285,BEJGEH_02205,GEGEGB_12810,ODDLKH_04605,LNHIMF_02295,ONMMKP_08630,IKCLMC_10975,PKJKAM_16560
group_2463,;lysR,hypothetical protein;DNA-binding transcriptional regulator LysR family,AJBGEP_15750,HFCAGB_16020,BEJGEH_14950,GEGEGB_15185,ODDLKH_17065,LNHIMF_15115,ONMMKP_19415,IKCLMC_19410,PKJKAM_11950
group_2462,ftsZ,Cell division protein FtsZ;cell division protein FtsZ,AJBGEP_00700,HFCAGB_00685,BEJGEH_00710,GEGEGB_00725,ODDLKH_03070,LNHIMF_00690,ONMMKP_10230,IKCLMC_15350,PKJKAM_03935
group_2461,,Transporter,AJBGEP_12865,HFCAGB_13365,BEJGEH_12135,GEGEGB_02490,ODDLKH_14545,LNHIMF_12695,ONMMKP_22235,IKCLMC_07975,PKJKAM_14355
group_2460,arsB,Na+/H+ antiporter NhaD or related arsenite permease,AJBGEP_04315,HFCAGB_04585,BEJGEH_04185,GEGEGB_10805,ODDLKH_06645,LNHIMF_04830,ONMMKP_06400,IKCLMC_07180,PKJKAM_05300
group_2459,hcp,Type VI protein secretion system component Hcp (secreted cytotoxin),AJBGEP_16535,HFCAGB_16810,BEJGEH_15740,GEGEGB_16040,ODDLKH_17840,LNHIMF_15890,ONMMKP_18550,IKCLMC_18625,PKJKAM_09720
group_2458,dksA,DksA/TraR family C4-type zinc finger protein,AJBGEP_04255,HFCAGB_04525,BEJGEH_04125,GEGEGB_10885,ODDLKH_06585,LNHIMF_04770,ONMMKP_06460,IKCLMC_07120,PKJKAM_05360
group_2456,argF;,ornithine carbamoyltransferase;Ornithine carbamoyltransferase,AJBGEP_23385,HFCAGB_23425,BEJGEH_22705,GEGEGB_23740,ODDLKH_01670,LNHIMF_22715;LNHIMF_22720,ONMMKP_11640,IKCLMC_16825,PKJKAM_11210
group_2455,,Cytoplasmic protein,AJBGEP_07015,HFCAGB_09810,BEJGEH_08815,GEGEGB_06390,ODDLKH_09015,LNHIMF_06880,ONMMKP_04040,IKCLMC_24260,PKJKAM_04465
dbpA,dbpA;,ATP-dependent RNA helicase DbpA;ATP-dependent RNA helicase,AJBGEP_08720,HFCAGB_08135,BEJGEH_07075,GEGEGB_08255;GEGEGB_08250,ODDLKH_10725,LNHIMF_08595,ONMMKP_01925,IKCLMC_22575,PKJKAM_22655
rpsT,rpsT;,30S ribosomal protein S20;hypothetical protein,AJBGEP_00225,HFCAGB_00235,BEJGEH_00230,GEGEGB_00240,ODDLKH_02605,LNHIMF_00225,ONMMKP_10695,IKCLMC_15820,PKJKAM_10315
group_2452,,Nitrite reductase,AJBGEP_00260,HFCAGB_00270,BEJGEH_00265,GEGEGB_00275,ODDLKH_02640,LNHIMF_00260,ONMMKP_10660,IKCLMC_15785,PKJKAM_10280
group_2450,uxaA,Altronate dehydratase,AJBGEP_03370,HFCAGB_03715,BEJGEH_03300,GEGEGB_11690,ODDLKH_05715,LNHIMF_03975,ONMMKP_07535,IKCLMC_12360,PKJKAM_01865
mdtL,mdtL,Multidrug resistance protein MdtL,AJBGEP_20260,HFCAGB_20495,BEJGEH_19485,GEGEGB_19410,ODDLKH_21520,LNHIMF_19495,ONMMKP_14700,IKCLMC_12700,PKJKAM_17595
proV,;proV,ABC transporter domain-containing protein;glycine betaine/L-proline ABC transporter ATP-binding protein ProV,AJBGEP_14855,HFCAGB_15085,BEJGEH_13990,GEGEGB_14260;GEGEGB_14265,ODDLKH_16165,LNHIMF_14230,ONMMKP_20350,IKCLMC_20295,PKJKAM_12885
cobB~~~cbiA,cobB;cbiA,cobyrinate ac-diamide synthase,AJBGEP_10975,HFCAGB_11480,BEJGEH_10265,GEGEGB_04460,ODDLKH_12650,LNHIMF_10580,ONMMKP_24075,IKCLMC_09875,PKJKAM_20650
rbsA,rbsA,ribose ABC transporter ATP-binding protein RbsA,AJBGEP_20445,HFCAGB_20680,BEJGEH_19680,GEGEGB_19205,ODDLKH_21700,LNHIMF_19675,ONMMKP_14515,IKCLMC_12520,PKJKAM_08005
ssaP,ssaP,SPI-2 type III secretion system apparatus protein SsaP,AJBGEP_07490,HFCAGB_09335,BEJGEH_08350,GEGEGB_06815,ODDLKH_09495,LNHIMF_07345,ONMMKP_03170,IKCLMC_23795,PKJKAM_03995
cutC,cutC,copper homeostasis protein CutC,AJBGEP_10035,HFCAGB_06540,BEJGEH_05790,GEGEGB_05180,ODDLKH_12015,LNHIMF_09925,ONMMKP_00605,IKCLMC_21210,PKJKAM_21290
group_2449,tar,Methyl-accepting chemotaxis protein (MCP),AJBGEP_08735,HFCAGB_08120,BEJGEH_07060,GEGEGB_08270,ODDLKH_10740,LNHIMF_08610,ONMMKP_01910,IKCLMC_22560,PKJKAM_22640
dtnK,dtnK,D-threonate kinase,AJBGEP_00865,HFCAGB_00860,BEJGEH_00910,GEGEGB_00890,ODDLKH_03230,LNHIMF_00845,ONMMKP_10055,IKCLMC_15185,PKJKAM_03760
tdcC,;tdcC,aromatic amino acid transport family protein;L-threonine transporter anaerobically inducible;threonine/serine transporter TdcC,AJBGEP_17120,HFCAGB_17395,BEJGEH_16365,GEGEGB_16660;GEGEGB_16655,ODDLKH_18420,LNHIMF_16495,ONMMKP_17965,IKCLMC_18040,PKJKAM_08940
surA,surA,peptidylprolyl isomerase SurA;SurA N-terminal domain-containing protein,AJBGEP_00485,HFCAGB_00460,BEJGEH_00480,GEGEGB_00495,ODDLKH_02855,LNHIMF_00475,ONMMKP_10450,IKCLMC_15570,PKJKAM_10060;PKJKAM_10065
ssaK,ssaK,SPI-2 type III secretion system apparatus protein SsaK,AJBGEP_07460,HFCAGB_09365,BEJGEH_08380,GEGEGB_06785,ODDLKH_09460,LNHIMF_07315,ONMMKP_03200,IKCLMC_23825,PKJKAM_04025
group_2448,,Cytoplasmic protein,AJBGEP_21585,HFCAGB_21810;HFCAGB_21805,BEJGEH_20850,GEGEGB_18535,ODDLKH_22835,LNHIMF_20800,ONMMKP_13400,IKCLMC_03755,PKJKAM_06895
pDC1~~~ipdC,;pDC1;ipdC,Decarboxylase;TPP-dependent 2-oxoacid decarboxylase includes indolepyruvate decarboxylase,AJBGEP_12895,HFCAGB_13395;HFCAGB_13400,BEJGEH_12165,GEGEGB_02450,ODDLKH_14575,LNHIMF_12725,ONMMKP_22205,IKCLMC_07945,PKJKAM_14325
rbn,rbn,ribonuclease BN,AJBGEP_12420,HFCAGB_12885,BEJGEH_11695,GEGEGB_02960,ODDLKH_14100,LNHIMF_12265,ONMMKP_22675,IKCLMC_08425,PKJKAM_14790
cesT,cesT,CesT family type III secretion system chaperone,AJBGEP_11520,HFCAGB_12035,BEJGEH_10865,GEGEGB_03835,ODDLKH_13200,LNHIMF_11435,ONMMKP_23530,IKCLMC_09265,PKJKAM_19985
preA,preA;,NAD-dependent dihydropyrimidine dehydrogenase subunit PreA;Dihydropyrimidine dehydrogenase,AJBGEP_11770,HFCAGB_12285,BEJGEH_11115,GEGEGB_03580;GEGEGB_03575,ODDLKH_13450,LNHIMF_11685,ONMMKP_23275,IKCLMC_09015,PKJKAM_19735
ruvA,ruvA,Holliday junction branch migration protein RuvA,AJBGEP_09965,HFCAGB_06610,BEJGEH_05855,GEGEGB_05245,ODDLKH_11950,LNHIMF_09860,ONMMKP_00675,IKCLMC_21280,PKJKAM_21360
ydcK,ydcK,YdcK family protein,AJBGEP_08485,HFCAGB_08380,BEJGEH_07335,GEGEGB_08020,ODDLKH_10490,LNHIMF_08360,ONMMKP_02180,IKCLMC_22810,PKJKAM_22890
group_2444,ptsN,Phosphotransferase system mannitol/fructose-specific IIA domain (Ntr-type),AJBGEP_12575,HFCAGB_13045,BEJGEH_11850,GEGEGB_02810,ODDLKH_14255,LNHIMF_12410,ONMMKP_22525,IKCLMC_08265,PKJKAM_14645
punR,;punR,Transcriptional regulator;DNA-binding transcriptional activator PunR,AJBGEP_07550,HFCAGB_09275,BEJGEH_08290,GEGEGB_06875,ODDLKH_09555,LNHIMF_07405,ONMMKP_03110,IKCLMC_23735,PKJKAM_00350
torR,torR;,TorCAD operon transcriptional regulatory protein TorR;Two-component transcriptional regulator;two-component system response regulator TorR,AJBGEP_20125,HFCAGB_20395,BEJGEH_19405,GEGEGB_19500;GEGEGB_19505,ODDLKH_21420,LNHIMF_19400,ONMMKP_15075,IKCLMC_12820,PKJKAM_17695
acpT,acpT,4'-phosphopantetheinyl transferase AcpT,AJBGEP_18860,HFCAGB_19130,BEJGEH_18100,GEGEGB_20825,ODDLKH_20165,LNHIMF_18130,ONMMKP_16325,IKCLMC_14035,PKJKAM_18945
group_2441,cof,pyridoxal phosphatase,AJBGEP_04045,HFCAGB_04325,BEJGEH_03925,GEGEGB_11095,ODDLKH_06390,LNHIMF_04580,ONMMKP_06870,IKCLMC_06890,PKJKAM_05555
group_2440,,Inner membrane protein,AJBGEP_23845,HFCAGB_23970,BEJGEH_23275,GEGEGB_24275,ODDLKH_02140,LNHIMF_23105,ONMMKP_11155,IKCLMC_16285,PKJKAM_10785
fhuF,fhuF,siderophore-iron reductase FhuF,AJBGEP_23835,HFCAGB_23960,BEJGEH_23265,GEGEGB_24265,ODDLKH_02130,LNHIMF_23095,ONMMKP_11165,IKCLMC_16295,PKJKAM_10795
cobC,cobC,adenosylcobalamin/alpha-ribazole phosphatase,AJBGEP_03335,HFCAGB_03680,BEJGEH_03265,GEGEGB_11725,ODDLKH_05680,LNHIMF_03940,ONMMKP_07570,IKCLMC_12325,PKJKAM_01900
group_2437,;acrR,TetR/AcrR family transcriptional regulator;DNA-binding protein AcrR family includes nucleoid occlusion protein SlmA,AJBGEP_07600,HFCAGB_09225,BEJGEH_08240,GEGEGB_06925,ODDLKH_09605,LNHIMF_07455,ONMMKP_03060,IKCLMC_23685,PKJKAM_00400
azlD,azlD,AzlD domain-containing protein,AJBGEP_21265,HFCAGB_21485,BEJGEH_20530,GEGEGB_18865,ODDLKH_22515,LNHIMF_20480,ONMMKP_13730,IKCLMC_03435,PKJKAM_07215
chaB,chaB,putative cation transport regulator ChaB,AJBGEP_09310,HFCAGB_07545,BEJGEH_06490,GEGEGB_08880,ODDLKH_11305,LNHIMF_09205,ONMMKP_01335,IKCLMC_21990,PKJKAM_22060
group_2436,lysP,Amino acid permease,AJBGEP_12640,HFCAGB_13110,BEJGEH_11915,GEGEGB_02745,ODDLKH_14320,LNHIMF_12475,ONMMKP_22460,IKCLMC_08200,PKJKAM_14580
phnX,phnX,phosphonoacetaldehyde hydrolase,AJBGEP_02260,HFCAGB_02280,BEJGEH_02200,GEGEGB_12815,ODDLKH_04600,LNHIMF_02290,ONMMKP_08635,IKCLMC_10970,PKJKAM_16565
group_2435,mutT,8-oxo-dGTP pyrophosphatase MutT and related house-cleaning NTP pyrophosphohydrolases NUDIX family,AJBGEP_06195,HFCAGB_10325,BEJGEH_09300,GEGEGB_08915,ODDLKH_08215,LNHIMF_06390,ONMMKP_04515,IKCLMC_04405,PKJKAM_02565
hisS,hisS,histidine--tRNA ligase,AJBGEP_13490,HFCAGB_14010,BEJGEH_12770,GEGEGB_01825,ODDLKH_15155,LNHIMF_13305,ONMMKP_21610,IKCLMC_06290,PKJKAM_13730
rimL,rimL,50S ribosomal protein L7/L12-serine acetyltransferase,AJBGEP_08490,HFCAGB_08375,BEJGEH_07330,GEGEGB_08025,ODDLKH_10495,LNHIMF_08365,ONMMKP_02175,IKCLMC_22805,PKJKAM_22885
mliC,mliC;,C-type lysozyme inhibitor;Lysozyme inhibitor,AJBGEP_07650,HFCAGB_09175,BEJGEH_08195,GEGEGB_06970,ODDLKH_09655,LNHIMF_07505,ONMMKP_03010,IKCLMC_23635,PKJKAM_00975
group_2434,,Tetratricopeptide repeat protein;Putative periplasmic protein,AJBGEP_06160,HFCAGB_10360,BEJGEH_09335,GEGEGB_08950,ODDLKH_08180,LNHIMF_06355,ONMMKP_04550,IKCLMC_04370,PKJKAM_02600
group_2433,;uraA,Permease;hypothetical protein;Xanthine/uracil permease,AJBGEP_19120,HFCAGB_19395,BEJGEH_18365,GEGEGB_20520;GEGEGB_20525,ODDLKH_20425,LNHIMF_18390,ONMMKP_16065,IKCLMC_13775,PKJKAM_18685
group_2431,arsC,ArsC family reductase,AJBGEP_13300,HFCAGB_13795,BEJGEH_12560,GEGEGB_02055,ODDLKH_14970,LNHIMF_13105,ONMMKP_21815,IKCLMC_06485,PKJKAM_13935
group_2430,dppF,ABC-type dipeptide/oligopeptide/nickel transport system ATPase component,AJBGEP_06675,HFCAGB_10190,BEJGEH_09160,GEGEGB_06015,ODDLKH_08675,LNHIMF_06535,ONMMKP_04385,IKCLMC_04890,PKJKAM_02435
group_2429,,Solute-binding protein family 3/N-terminal domain-containing protein,AJBGEP_22810,HFCAGB_22945,BEJGEH_22140,GEGEGB_23245,ODDLKH_01110,LNHIMF_22250,ONMMKP_12200,IKCLMC_05790,PKJKAM_05850
punC,punC,purine nucleoside transporter PunC,AJBGEP_07545,HFCAGB_09280,BEJGEH_08295,GEGEGB_06870,ODDLKH_09550,LNHIMF_07400,ONMMKP_03115,IKCLMC_23740,PKJKAM_03940
dkgA,;dkgA,Methylglyoxal reductase;aldo/keto reductase;25-didehydrogluconate reductase DkgA,AJBGEP_16710,HFCAGB_16985,BEJGEH_15910,GEGEGB_16215;GEGEGB_16210,ODDLKH_18010,LNHIMF_16080,ONMMKP_18375,IKCLMC_18455,PKJKAM_09550
group_2425,,Arylsulfotransferase N-terminal domain-containing protein,AJBGEP_00200,HFCAGB_00205,BEJGEH_00205,GEGEGB_00215,ODDLKH_02580,LNHIMF_00200,ONMMKP_10720,IKCLMC_15845,PKJKAM_10340
hemD,hemD,uroporphyrinogen-III synthase,AJBGEP_20710,HFCAGB_20945,BEJGEH_19955,GEGEGB_17715,ODDLKH_21960,LNHIMF_19960,ONMMKP_14250,IKCLMC_02505,PKJKAM_07735
group_2424,rhaT,Permease of the drug/metabolite transporter (DMT) superfamily,AJBGEP_17415,HFCAGB_17680,BEJGEH_16650,GEGEGB_16960,ODDLKH_18730,LNHIMF_16765,ONMMKP_17695,IKCLMC_17740,PKJKAM_08635
kduI,kduI,5-dehydro-4-deoxy-D-glucuronate isomerase,AJBGEP_15945,HFCAGB_16215,BEJGEH_15145,GEGEGB_15405,ODDLKH_17260,LNHIMF_15310,ONMMKP_19220,IKCLMC_19215,PKJKAM_11755
group_2423,,hypothetical protein;Secreted protein,AJBGEP_11875,1_refound_16,BEJGEH_11225,3_refound_50_pseudo,ODDLKH_13555,LNHIMF_11790,ONMMKP_23165,IKCLMC_08915,PKJKAM_00280
group_2422,,Inner membrane protein,AJBGEP_16685,HFCAGB_16960,BEJGEH_15885,GEGEGB_16185,ODDLKH_17985,LNHIMF_16055,ONMMKP_18400,IKCLMC_18480,PKJKAM_09575
sunT,sunT;,ABC-type bacteriocin/lantibiotic exporters contain an N-terminal double-glycine peptidase domain;Peptidase C39 domain-containing protein,AJBGEP_14455,HFCAGB_14635;HFCAGB_14630,BEJGEH_13565,GEGEGB_13925,ODDLKH_15770,LNHIMF_13910,ONMMKP_20995,IKCLMC_20590,PKJKAM_13100
ispU,ispU,(2E6E)-farnesyl-diphosphate-specific ditranspolycis-undecaprenyl-diphosphate synthase,AJBGEP_01175,HFCAGB_01175,BEJGEH_01225,GEGEGB_01185,ODDLKH_03540,LNHIMF_01155,ONMMKP_09715,IKCLMC_14875,PKJKAM_03415
group_2420,,metallo-dependent hydrolase,AJBGEP_23120,HFCAGB_23265,BEJGEH_22455,GEGEGB_23575,ODDLKH_01420,LNHIMF_22560,ONMMKP_11890,IKCLMC_16980,PKJKAM_11465
grxB,grxB,glutaredoxin 2,AJBGEP_05830,HFCAGB_10685,BEJGEH_09650,GEGEGB_09280,ODDLKH_07860,LNHIMF_06005,ONMMKP_04870,IKCLMC_04050,PKJKAM_02885
pEBP,;pEBP,Putative outer membrane protein;Uncharacterized conserved protein phosphatidylethanolamine-binding protein (PEBP) family,AJBGEP_05400,HFCAGB_05650,BEJGEH_04930,GEGEGB_09740,ODDLKH_07430,LNHIMF_05575,ONMMKP_05300,IKCLMC_02885,PKJKAM_03330
ynfA,ynfA,YnfA family protein,AJBGEP_07920,HFCAGB_08890,BEJGEH_07915,GEGEGB_07510,ODDLKH_09925,LNHIMF_07790,ONMMKP_02740,IKCLMC_23350,PKJKAM_23450
ebgC,ebgC,Beta-galactosidase beta subunit,AJBGEP_23400,HFCAGB_23440,BEJGEH_22720,GEGEGB_23755,ODDLKH_01685,LNHIMF_22735,ONMMKP_11625,IKCLMC_16810,PKJKAM_11195
wcaK,wcaK;,colanic acid biosynthesis pyruvyl transferase WcaK;Colanic acid biosynthesis protein,AJBGEP_11325,HFCAGB_11835,BEJGEH_10615,GEGEGB_04095;GEGEGB_04090,ODDLKH_13000,LNHIMF_11245,ONMMKP_23760,IKCLMC_09500,PKJKAM_20285
nUC1,;nUC1,DNA/RNA non-specific endonuclease;DNA/RNA endonuclease G NUC1,AJBGEP_07040,HFCAGB_09785,BEJGEH_08790,GEGEGB_06415,ODDLKH_09040,LNHIMF_06905,ONMMKP_04015,IKCLMC_24235,PKJKAM_04440
xthA,xthA,exodeoxyribonuclease III,AJBGEP_06895,HFCAGB_09930,BEJGEH_08935,GEGEGB_06255,ODDLKH_08895,LNHIMF_06760,ONMMKP_04160,IKCLMC_24380,PKJKAM_04585
group_2419,trxA,Thiol-disulfide isomerase or thioredoxin,AJBGEP_05570,HFCAGB_05820,BEJGEH_05095,GEGEGB_09545,ODDLKH_07600,LNHIMF_05745,ONMMKP_05130,IKCLMC_03055,PKJKAM_03155
group_2417,purR,DNA-binding transcriptional regulator LacI/PurR family,AJBGEP_15915,HFCAGB_16185,BEJGEH_15115,GEGEGB_15375,ODDLKH_17230,LNHIMF_15280,ONMMKP_19250,IKCLMC_19245,PKJKAM_11785
group_2416,;hyaA,hydrogenase 1 small subunit;Hydrogenase-1 small chain,AJBGEP_09390,HFCAGB_07460,BEJGEH_06400,GEGEGB_05805;GEGEGB_05800,ODDLKH_11390,LNHIMF_09290,ONMMKP_01255,IKCLMC_21900,PKJKAM_21980
dedD,dedD,cell division protein DedD,AJBGEP_12675,HFCAGB_13145,BEJGEH_11950,GEGEGB_02710,ODDLKH_14355,LNHIMF_12510,ONMMKP_22425,IKCLMC_08165,PKJKAM_14545
eutR,eutR,HTH-type transcriptional regulator EutR,AJBGEP_13145,HFCAGB_13650,BEJGEH_12415,GEGEGB_02205,ODDLKH_14825,LNHIMF_12960,ONMMKP_21960,IKCLMC_06630,PKJKAM_14080
hutI,hutI,imidazolonepropionase,AJBGEP_04060,HFCAGB_04340,BEJGEH_03940,GEGEGB_11080,ODDLKH_06405,LNHIMF_04595,ONMMKP_06640,IKCLMC_06905,PKJKAM_05540
abrB,abrB,Uncharacterized membrane protein AbrB regulator of aidB expression,AJBGEP_03765,HFCAGB_04055,BEJGEH_03645,GEGEGB_11315,ODDLKH_06110,LNHIMF_04345,ONMMKP_07150,IKCLMC_02015,PKJKAM_02070
hmsP,hmsP,biofilm formation regulator HmsP,AJBGEP_19030,HFCAGB_19305,BEJGEH_18275,GEGEGB_20625,ODDLKH_20335,LNHIMF_18300,ONMMKP_16155,IKCLMC_13865,PKJKAM_18775
pqaA,pqaA,PhoPQ-activated pathogenicity-related protein,AJBGEP_08140,HFCAGB_08670,BEJGEH_07705,GEGEGB_07725,ODDLKH_10145,LNHIMF_08000,ONMMKP_02530,IKCLMC_23140,PKJKAM_23235
