Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences,Avg sequences per isolate,Genome Fragment,Order within Fragment,Accessory Fragment,Accessory Order with Fragment,QC,Min group size nuc,Max group size nuc,Avg group size nuc,GCF_000022165.1,GCF_000020925.1,GCF_000020885.1,GCF_000007545.1,GCF_000170215.1,GCF_000020745.1,GCF_000171535.2,GCF_000171415.1,GCF_000171515.1
ccmC,ccmC,ABC-type transport system involved in cytochrome c biogenesis permease component,9,9,1.0,1,5190,,,,747,747,747.0,AJBGEP_12105,HFCAGB_12570,BEJGEH_11380,GEGEGB_03295,ODDLKH_13785,LNHIMF_11940,ONMMKP_15110,IKCLMC_08740,PKJKAM_15105
group_2326,ccmF,Cytochrome c biogenesis protein CcmF,9,9,1.0,1,5189,,,,1932,1932,1932.0,AJBGEP_20075,HFCAGB_20345,BEJGEH_19355,GEGEGB_19555,ODDLKH_21370,LNHIMF_19350,ONMMKP_23005,IKCLMC_12870,PKJKAM_17745
ccmF,ccmF,Cytochrome c biogenesis protein CcmF,9,9,1.0,1,5188,,,,1932,1932,1932.0,AJBGEP_12090,HFCAGB_12555,BEJGEH_11365,GEGEGB_03310,ODDLKH_13770,LNHIMF_11925,ONMMKP_15125,IKCLMC_08755,PKJKAM_15120
dsbE,dsbE,thiol:disulfide interchange protein DsbE,9,9,1.0,1,5187,,,,558,558,558.0,AJBGEP_12085,HFCAGB_12550,BEJGEH_11360,GEGEGB_03315,ODDLKH_13765,LNHIMF_11920,ONMMKP_23010,IKCLMC_08760,PKJKAM_15125
ychN,ychN,Protein YchN,9,9,1.0,1,5176,,,,354,354,354.0,AJBGEP_09305,HFCAGB_07550,BEJGEH_06495,GEGEGB_08875,ODDLKH_11300,LNHIMF_09200,ONMMKP_01340,IKCLMC_21995,PKJKAM_22065
group_2268,dmsB,DMSO/selenate family reductase complex B subunit,9,9,1.0,1,5126,,,,618,618,618.0,AJBGEP_07885,HFCAGB_08925,BEJGEH_07950,GEGEGB_07475,ODDLKH_09890,LNHIMF_07755,ONMMKP_02775,IKCLMC_23385,PKJKAM_23485
group_2267,dmsB,DMSO/selenate family reductase complex B subunit,9,9,1.0,1,5125,,,,618,618,618.0,AJBGEP_04795,HFCAGB_05060,BEJGEH_04625,GEGEGB_10390,ODDLKH_07120,LNHIMF_05280,ONMMKP_05910,IKCLMC_07655,PKJKAM_04825
oadA,oadA,sodium-extruding oxaloacetate decarboxylase subunit alpha,9,9,1.0,1,5109,,,,1776,1776,1776.0,AJBGEP_00285,HFCAGB_00295,BEJGEH_00290,GEGEGB_00300,ODDLKH_02665,LNHIMF_00285,ONMMKP_10635,IKCLMC_15760,PKJKAM_10255
group_2251,oadB,Oxaloacetate decarboxylase beta chain,9,9,1.0,1,5108,,,,1302,1302,1302.0,AJBGEP_17665,HFCAGB_17935,BEJGEH_16905,GEGEGB_17215,ODDLKH_18980,LNHIMF_17020,ONMMKP_17450,IKCLMC_17490,PKJKAM_08385
oadB,oadB,Oxaloacetate decarboxylase beta chain,9,9,1.0,1,5107,,,,1302,1302,1302.0,AJBGEP_00280,HFCAGB_00290,BEJGEH_00285,GEGEGB_00295,ODDLKH_02660,LNHIMF_00280,ONMMKP_10640,IKCLMC_15765,PKJKAM_10260
pheM,pheM,pheST operon leader peptide PheM,9,9,1.0,1,5022,,,,45,45,45.0,AJBGEP_07075,HFCAGB_09755,BEJGEH_08765,GEGEGB_06450,ODDLKH_09075,LNHIMF_06930,ONMMKP_03590,IKCLMC_24210,PKJKAM_04415
spfP,spfP,Small protein SpfP,9,9,1.0,1,5021,,,,48,48,48.0,AJBGEP_21040,HFCAGB_21260,BEJGEH_20285,GEGEGB_19105,ODDLKH_22290,LNHIMF_20260,ONMMKP_13940,IKCLMC_03205,PKJKAM_07425
mgtL,mgtL,mgtA leader peptide,9,9,1.0,1,5018,,,,54,54,54.0,AJBGEP_23340,HFCAGB_23380,BEJGEH_22660,GEGEGB_23695,ODDLKH_01625,LNHIMF_22675,ONMMKP_11685,IKCLMC_16865,PKJKAM_11250
ypdK,ypdK,membrane protein YpdK,9,9,1.0,1,5017,,,,57,57,57.0,AJBGEP_12875,HFCAGB_13375,BEJGEH_12145,GEGEGB_02480,ODDLKH_14555,LNHIMF_12705,ONMMKP_22225,IKCLMC_07965,PKJKAM_14345
yoeI,yoeI,Membrane protein YoeI,9,9,1.0,1,5013,,,,63,63,63.0,AJBGEP_11150,HFCAGB_11655,BEJGEH_10440,GEGEGB_04275,ODDLKH_12825,LNHIMF_11050,ONMMKP_23890,IKCLMC_09690,PKJKAM_20475
trpL,trpL,trp operon leader peptide,9,9,1.0,1,5012,,,,63,63,63.0,AJBGEP_09075,HFCAGB_07780,2_refound_22,GEGEGB_08645,ODDLKH_11070,LNHIMF_08970,ONMMKP_01570,IKCLMC_22225,PKJKAM_22295
group_2163,,Bactoprenol glucosyl transferase,9,9,1.0,1,5008,,,,78,78,78.0,AJBGEP_10240,HFCAGB_06345,2_refound_24,GEGEGB_04985,4_refound_56,LNHIMF_10130,ONMMKP_00400,7_refound_88,PKJKAM_21090
yrbN,yrbN,Uncharacterized protein YrbN,9,9,1.0,1,5006,,,,81,81,81.0,AJBGEP_17285,HFCAGB_17560,BEJGEH_16530,GEGEGB_16845,ODDLKH_18610,LNHIMF_16650,ONMMKP_17810,IKCLMC_17860,PKJKAM_08760
yohP,yohP,small membrane protein YohP,9,9,1.0,1,5005,,,,84,84,84.0,AJBGEP_11700,HFCAGB_12215,BEJGEH_11045,GEGEGB_03650,ODDLKH_13380,LNHIMF_11615,ONMMKP_23345,IKCLMC_09085,PKJKAM_19805
mgtU,mgtU,Magnesium transporter protection protein MgtU,9,9,1.0,1,5004,,,,87,87,87.0,AJBGEP_19800,HFCAGB_20095,BEJGEH_19080,GEGEGB_19840,ODDLKH_21100,LNHIMF_19060,ONMMKP_15400,IKCLMC_13120,PKJKAM_18025
thrL,thrL,thr operon leader peptide,9,9,1.0,1,5003,,,,87,87,87.0,AJBGEP_00005,HFCAGB_00005,BEJGEH_00005,GEGEGB_00005,ODDLKH_02385,LNHIMF_00005,ONMMKP_10910,IKCLMC_16040,PKJKAM_10540
pmrR,pmrR,LpxT activity modulator PmrR,9,9,1.0,1,4999,,,,90,90,90.0,AJBGEP_22515,HFCAGB_22665,BEJGEH_21780,GEGEGB_22170,ODDLKH_00755,LNHIMF_21900,ONMMKP_12505,IKCLMC_05490,PKJKAM_06145
tisB,tisB,Toxic peptide TisB,9,9,1.0,1,4998,,,,90,90,90.0,AJBGEP_19990,HFCAGB_20260,BEJGEH_19270,GEGEGB_19645,ODDLKH_21285,LNHIMF_19265,ONMMKP_15210,IKCLMC_12960,PKJKAM_17830
ynhF,ynhF,YnhF family membrane protein,9,9,1.0,1,4996,,,,90,90,90.0,AJBGEP_07565,HFCAGB_09265,BEJGEH_08280,GEGEGB_06890,ODDLKH_09570,LNHIMF_07420,ONMMKP_03100,IKCLMC_23725,PKJKAM_00365
mgtS,mgtS,protein MgtS,9,9,1.0,1,4986,,,,96,96,96.0,AJBGEP_07990,HFCAGB_08820,BEJGEH_07850,GEGEGB_07580,ODDLKH_09990,LNHIMF_07855,ONMMKP_02675,IKCLMC_23285,PKJKAM_23380
ivbL,ivbL,ilvB operon leader peptide IvbL,9,9,1.0,1,4983,,,,99,99,99.0,AJBGEP_19980,HFCAGB_20250,BEJGEH_19260,GEGEGB_19655,ODDLKH_21275,LNHIMF_19255,ONMMKP_15220,IKCLMC_12970,PKJKAM_17840
pyrL,pyrL,pyr operon leader peptide,9,9,1.0,1,4980,,,,102,102,102.0,AJBGEP_23370,HFCAGB_23410,BEJGEH_22690,GEGEGB_23725,ODDLKH_01655,5_refound_66,ONMMKP_11655,IKCLMC_16840,PKJKAM_11225
group_2144,,hypothetical protein,9,9,1.0,1,4979,,,,102,102,102.0,AJBGEP_17400,HFCAGB_17665,BEJGEH_16635,GEGEGB_16945,ODDLKH_18715,LNHIMF_16750,ONMMKP_17710,IKCLMC_17755,PKJKAM_08655
group_2142,,Cytoplasmic protein,9,9,1.0,1,4977,,,,102,102,102.0,AJBGEP_01890,HFCAGB_01895,BEJGEH_01840,GEGEGB_13205,ODDLKH_04230,LNHIMF_01930,ONMMKP_09010,IKCLMC_10595,PKJKAM_16935
group_2133,,hypothetical protein,9,9,1.0,1,4968,,,,108,108,108.0,0_refound_2,HFCAGB_07180,BEJGEH_06120,3_refound_44,4_refound_58,5_refound_70,ONMMKP_00975,IKCLMC_21620,PKJKAM_21700
yshB,yshB,YshB family small membrane protein,9,9,1.0,1,4964,,,,111,111,111.0,AJBGEP_21070,HFCAGB_21290,BEJGEH_20315,GEGEGB_19070,ODDLKH_22320,LNHIMF_20290,ONMMKP_13905,IKCLMC_03235,PKJKAM_07390
group_2124,,Inner membrane protein,9,9,1.0,1,4958,,,,114,114,114.0,AJBGEP_14710,HFCAGB_14930,BEJGEH_13850,GEGEGB_14105,ODDLKH_16020,LNHIMF_14085,ONMMKP_20490,IKCLMC_20445,PKJKAM_13025
group_2123,,DUF2770 domain-containing protein,9,9,1.0,1,4957,,,,114,114,114.0,AJBGEP_05800,HFCAGB_10715,BEJGEH_09680,GEGEGB_09310,ODDLKH_07830,LNHIMF_05975,ONMMKP_04900,IKCLMC_04020,PKJKAM_02915
cydX,cydX,cytochrome bd-I oxidase subunit CydX,9,9,1.0,1,4956,,,,114,114,114.0,AJBGEP_03835,HFCAGB_04120,BEJGEH_03715,GEGEGB_11250,ODDLKH_06180,LNHIMF_04410,ONMMKP_07080,IKCLMC_01945,PKJKAM_02140
rpmJ,rpmJ,50S ribosomal protein L36,9,9,1.0,1,4952,,,,117,117,117.0,AJBGEP_18015,HFCAGB_18290,BEJGEH_17250,GEGEGB_21595,ODDLKH_19335,LNHIMF_17365,ONMMKP_17105,IKCLMC_00680,PKJKAM_00520
ymiA,ymiA,YmiA family putative membrane protein,9,9,1.0,1,4940,,,,129,129,129.0,AJBGEP_09025,HFCAGB_07835,BEJGEH_06775,GEGEGB_08590,ODDLKH_11020,LNHIMF_08915,ONMMKP_01625,IKCLMC_22275,PKJKAM_22350
mntS,mntS,manganase accumulation protein MntS,9,9,1.0,1,4939,,,,129,129,129.0,AJBGEP_04305,HFCAGB_04575,BEJGEH_04175,GEGEGB_10815,ODDLKH_06635,LNHIMF_04820,ONMMKP_06410,IKCLMC_07170,PKJKAM_05310
sra,sra,stationary-phase-induced ribosome-associated protein,9,9,1.0,1,4919,,,,144,144,144.0,AJBGEP_08260,HFCAGB_08605,BEJGEH_07570,GEGEGB_07825,ODDLKH_10265,LNHIMF_08140,ONMMKP_02405,IKCLMC_23035,PKJKAM_23115
yqaE,yqaE,Membrane putative modulator PMP3/YqaE plasma membrane proteolipid 3 (PMP3)/Esi3/RCI2/UPF0057 family,9,9,1.0,1,4902,,,,159,159,159.0,AJBGEP_14785,HFCAGB_15015,BEJGEH_13920,GEGEGB_14185,ODDLKH_16095,LNHIMF_14160,ONMMKP_20420,IKCLMC_20365,PKJKAM_12955
xapX,xapX,XapX domain-containing protein,9,9,1.0,1,4900,,,,159,159,159.0,AJBGEP_12975,HFCAGB_13480,BEJGEH_12245,GEGEGB_02370,ODDLKH_14655,LNHIMF_12805,ONMMKP_22125,IKCLMC_06795,PKJKAM_14240
ytjA,ytjA,UPF0391 membrane protein YtjA,9,9,1.0,1,4889,,,,162,162,162.0,AJBGEP_23895,HFCAGB_24020,BEJGEH_23325,GEGEGB_24325,ODDLKH_02190,LNHIMF_23155,ONMMKP_11105,IKCLMC_16235,PKJKAM_10735
yjiS,yjiS,DUF1127 domain-containing protein,9,9,1.0,1,4881,,,,165,165,165.0,AJBGEP_23685,HFCAGB_23775,BEJGEH_23175,GEGEGB_24140,ODDLKH_01980,LNHIMF_22975,ONMMKP_11275,IKCLMC_16465,PKJKAM_10940
group_2056,,Periplasmic protein,9,9,1.0,1,4880,,,,165,165,165.0,AJBGEP_17850,HFCAGB_18120,BEJGEH_17085,GEGEGB_17395,ODDLKH_19165,LNHIMF_17200,ONMMKP_17270,IKCLMC_17310,PKJKAM_08200
rpmG,rpmG,50S ribosomal protein L33,9,9,1.0,1,4877,,,,168,168,168.0,AJBGEP_19620,HFCAGB_19900,BEJGEH_18870,GEGEGB_20045,ODDLKH_20920,LNHIMF_18855,ONMMKP_15555,IKCLMC_13275,PKJKAM_18180
rsmS,rsmS,pleiotropic regulatory protein RsmS,9,9,1.0,1,4876,,,,168,168,168.0,AJBGEP_02500,HFCAGB_02525,BEJGEH_02445,GEGEGB_12545,ODDLKH_04840,LNHIMF_02525,ONMMKP_08395,IKCLMC_11215,PKJKAM_16320
group_2048,,DUF4223 domain-containing protein,9,9,1.0,1,4870,,,,171,171,171.0,AJBGEP_18330,HFCAGB_18595,BEJGEH_17570,GEGEGB_21275,ODDLKH_19640,LNHIMF_17670,ONMMKP_16800,IKCLMC_14560,PKJKAM_19430
gns,gns,Protein gns,9,9,1.0,1,4857,,,,174,174,174.0,AJBGEP_09505,HFCAGB_07345,BEJGEH_06285,GEGEGB_05675,ODDLKH_11505,LNHIMF_09405,ONMMKP_01140,IKCLMC_21785,PKJKAM_21865
yciY,yciY,YciY family protein,9,9,1.0,1,4856,,,,174,174,174.0,AJBGEP_09160,HFCAGB_07695,BEJGEH_06640,GEGEGB_08730,ODDLKH_11155,LNHIMF_09055,ONMMKP_01485,IKCLMC_22140,PKJKAM_22210
rpmF,rpmF,50S ribosomal protein L32,9,9,1.0,1,4854,,,,174,174,174.0,AJBGEP_05965,HFCAGB_10545,BEJGEH_09520,GEGEGB_09145,ODDLKH_07995,LNHIMF_06140,ONMMKP_04735,IKCLMC_04185,PKJKAM_00085
rpmD,rpmD,50S ribosomal protein L30,9,9,1.0,1,4835,,,,180,180,180.0,AJBGEP_18030,HFCAGB_18305,BEJGEH_17265,GEGEGB_21580,ODDLKH_19350,LNHIMF_17380,ONMMKP_17090,IKCLMC_00665,PKJKAM_00505
group_2018,,hypothetical protein,9,9,1.0,1,4834,,,,180,180,180.0,AJBGEP_13575,HFCAGB_14100,BEJGEH_12855,GEGEGB_01735,ODDLKH_15240,LNHIMF_13380,ONMMKP_21525,IKCLMC_06205,PKJKAM_13645
yoaH,yoaH,YoaH family protein,9,9,1.0,1,4833,,,,180,180,180.0,AJBGEP_09590,HFCAGB_07270,BEJGEH_06210,GEGEGB_05600,ODDLKH_11580,LNHIMF_09480,ONMMKP_01065,IKCLMC_21710,PKJKAM_21790
group_2013,,Stress-induced acidophilic repeat motif-containing protein,9,9,1.0,1,4827,,,,183,183,183.0,AJBGEP_09105,HFCAGB_07750,BEJGEH_06690,GEGEGB_08675,ODDLKH_11100,LNHIMF_09000,ONMMKP_01540,IKCLMC_22195,PKJKAM_22265
group_2012,,Stress-induced acidophilic repeat motif-containing protein,9,9,1.0,1,4826,,,,183,183,183.0,AJBGEP_07970,HFCAGB_08840,BEJGEH_07870,GEGEGB_07560,ODDLKH_09970,LNHIMF_07835,ONMMKP_02695,IKCLMC_23305,PKJKAM_23400
group_2011,,Cytoplasmic protein,9,9,1.0,1,4825,,,,183,183,183.0,AJBGEP_06740,HFCAGB_10125,BEJGEH_09095,GEGEGB_06080,ODDLKH_08740,LNHIMF_06600,ONMMKP_04320,IKCLMC_24540,PKJKAM_02370
group_2005,alaS,carbon storage regulator CsrA,9,9,1.0,1,4818,,,,186,186,186.0,AJBGEP_14950,HFCAGB_15185,BEJGEH_14085,GEGEGB_14360,ODDLKH_16260,LNHIMF_14325,ONMMKP_20255,IKCLMC_20210,PKJKAM_12790
yodC,yodC,DUF2158 domain-containing protein,9,9,1.0,1,4816,,,,186,186,186.0,AJBGEP_10440,HFCAGB_06150,BEJGEH_05400,GEGEGB_04785,ODDLKH_12410,LNHIMF_10320,ONMMKP_00210,IKCLMC_20820,PKJKAM_20895
ydiH,ydiH,YdiH family protein,9,9,1.0,1,4805,,,,189,189,189.0,AJBGEP_07235,HFCAGB_09595,BEJGEH_08605,GEGEGB_06550,ODDLKH_09235,LNHIMF_07090,ONMMKP_03430,IKCLMC_24050,PKJKAM_04255
bcsF,bcsF,cellulose biosynthesis protein BcsF,9,9,1.0,1,4798,,,,192,192,192.0,AJBGEP_19070,HFCAGB_19345,BEJGEH_18315,GEGEGB_20575,ODDLKH_20375,LNHIMF_18340,ONMMKP_16115,IKCLMC_13825,PKJKAM_18735
rpmC,rpmC,50S ribosomal protein L29,9,9,1.0,1,4797,,,,192,192,192.0,AJBGEP_18080,HFCAGB_18355,BEJGEH_17315,GEGEGB_21530,ODDLKH_19400,LNHIMF_17430,ONMMKP_17040,IKCLMC_00615,PKJKAM_00455
group_1987,,Secreted protein,9,9,1.0,1,4796,,,,192,192,192.0,AJBGEP_09725,HFCAGB_07130,BEJGEH_06070,GEGEGB_05460,ODDLKH_11715,LNHIMF_09615,ONMMKP_00925,IKCLMC_21570,PKJKAM_21650
group_1986,,Conserved domain protein,9,9,1.0,1,4795,,,,192,192,192.0,AJBGEP_08670,HFCAGB_08185,BEJGEH_07130,GEGEGB_08175,ODDLKH_10675,LNHIMF_08540,ONMMKP_01975,IKCLMC_22625,PKJKAM_22705
hemP,hemP,Hemin uptake protein HemP,9,9,1.0,1,4794,,,,192,192,192.0,AJBGEP_07130,HFCAGB_09700,BEJGEH_08710,GEGEGB_06505,ODDLKH_09130,LNHIMF_06985,ONMMKP_03535,IKCLMC_24155,PKJKAM_04360
yacG,yacG,DNA gyrase inhibitor YacG,9,9,1.0,1,4793,,,,192,192,192.0,AJBGEP_00730,HFCAGB_00725,BEJGEH_00750,GEGEGB_00765,ODDLKH_03100,LNHIMF_00720,ONMMKP_10190,IKCLMC_15320,PKJKAM_03900
bfd,bfd,bacterioferritin-associated ferredoxin,9,9,1.0,1,4784,,,,195,195,195.0,AJBGEP_18140,HFCAGB_18415,BEJGEH_17375,GEGEGB_21470,ODDLKH_19460,LNHIMF_17490,ONMMKP_16980,IKCLMC_00555,PKJKAM_19610
dsrB,dsrB,protein DsrB,9,9,1.0,1,4782,,,,195,195,195.0,AJBGEP_10415,HFCAGB_06175,BEJGEH_05425,GEGEGB_04810,ODDLKH_12385,LNHIMF_10295,ONMMKP_00235,IKCLMC_20845,PKJKAM_20920
golB,golB,gold resistance metallochaperone GolB,9,9,1.0,1,4781,,,,195,195,195.0,AJBGEP_01870,HFCAGB_01870,BEJGEH_01815,GEGEGB_13235,ODDLKH_04210,LNHIMF_01910,ONMMKP_09030,IKCLMC_10575,PKJKAM_16955
yjeT,yjeT,DUF2065 domain-containing protein,9,9,1.0,1,4775,,,,198,198,198.0,AJBGEP_22880,HFCAGB_23015,BEJGEH_22210,GEGEGB_23310,ODDLKH_01180,LNHIMF_22315,ONMMKP_12130,IKCLMC_17230,PKJKAM_05780
group_1970,,Cytoplasmic protein,9,9,1.0,1,4773,,,,198,198,198.0,AJBGEP_21050,HFCAGB_21270,BEJGEH_20295,GEGEGB_19090,ODDLKH_22300,LNHIMF_20270,ONMMKP_13925,IKCLMC_03215,PKJKAM_07410
group_1969,,RNase P,9,9,1.0,1,4772,,,,198,198,198.0,AJBGEP_20210,HFCAGB_20480,BEJGEH_19470,GEGEGB_19425,ODDLKH_21505,LNHIMF_19480,ONMMKP_15000,IKCLMC_12735,PKJKAM_17610
group_1968,,Large ribosomal subunit protein bL35,9,9,1.0,1,4771,,,,198,198,198.0,AJBGEP_07065,HFCAGB_09765,BEJGEH_08775,GEGEGB_06440,ODDLKH_09065,LNHIMF_06920,ONMMKP_03600,IKCLMC_24220,PKJKAM_04425
group_1967,ybdD,DUF466 domain-containing protein,9,9,1.0,1,4770,,,,198,198,198.0,AJBGEP_03120,HFCAGB_03445,BEJGEH_03045,GEGEGB_11950,ODDLKH_05455,LNHIMF_03720,ONMMKP_07785,IKCLMC_12110,PKJKAM_15430
group_1964,kefB,glutathione-regulated potassium-efflux system protein KefB,9,9,1.0,1,4766,,,,201,201,201.0,AJBGEP_18200,HFCAGB_18475,BEJGEH_17435,GEGEGB_21410,ODDLKH_19520,LNHIMF_17550,ONMMKP_16920,IKCLMC_14680,PKJKAM_19550
iscX,iscX,Fe-S cluster assembly protein IscX,9,9,1.0,1,4765,,,,201,201,201.0,AJBGEP_13585,HFCAGB_14110,BEJGEH_12865,GEGEGB_01725,ODDLKH_15250,LNHIMF_13390,ONMMKP_21515,IKCLMC_06195,PKJKAM_13635
ypfN,ypfN,UPF0370 protein CKO_00315,9,9,1.0,1,4764,,,,201,201,201.0,AJBGEP_13310,HFCAGB_13805,BEJGEH_12570,GEGEGB_02045,ODDLKH_14980,LNHIMF_13115,ONMMKP_21805,IKCLMC_06475,PKJKAM_13925
yaeP,yaeP,YaeP family protein,9,9,1.0,1,4762,,,,201,201,201.0,AJBGEP_01260,HFCAGB_01260,BEJGEH_01310,GEGEGB_01285,ODDLKH_03625,LNHIMF_01245,ONMMKP_09625,IKCLMC_14790,PKJKAM_00770
ybdD,ybdD,DUF466 domain-containing protein,9,9,1.0,1,4749,,,,204,204,204.0,AJBGEP_23740,HFCAGB_23865,BEJGEH_23200,GEGEGB_24200,ODDLKH_02035,LNHIMF_23000,ONMMKP_11225,IKCLMC_16390,PKJKAM_10890
yifL,yifL,Uncharacterized lipoprotein YifL,9,9,1.0,1,4748,,,,204,204,204.0,AJBGEP_20760,HFCAGB_20980,BEJGEH_20005,GEGEGB_17670,ODDLKH_22010,LNHIMF_19990,ONMMKP_14215,IKCLMC_02470,PKJKAM_07700
bcsR,bcsR,cellulose biosynthesis protein BcsR,9,9,1.0,1,4747,,,,204,204,204.0,AJBGEP_19060,HFCAGB_19335,BEJGEH_18305,GEGEGB_20585,ODDLKH_20365,LNHIMF_18330,ONMMKP_16125,IKCLMC_13835,PKJKAM_18745
aaeX,aaeX,p-hydroxybenzoic acid efflux pump operon protein AaeX,9,9,1.0,1,4746,,,,204,204,204.0,AJBGEP_17740,HFCAGB_18010,BEJGEH_16980,GEGEGB_17290,ODDLKH_19055,LNHIMF_17095,ONMMKP_17375,IKCLMC_17415,PKJKAM_08310
glgS,glgS,cell surface composition regulator GlgS,9,9,1.0,1,4745,,,,204,204,204.0,AJBGEP_16870,HFCAGB_17145,BEJGEH_16115,GEGEGB_16385,ODDLKH_18170,LNHIMF_16245,ONMMKP_18215,IKCLMC_18290,PKJKAM_09390
ydfZ,ydfZ,Selenium delivery protein YdfZ,9,9,1.0,1,4744,,,,204,204,204.0,AJBGEP_07950,HFCAGB_08860,BEJGEH_07890,GEGEGB_07540,ODDLKH_09950,LNHIMF_07815,ONMMKP_02715,IKCLMC_23325,PKJKAM_23425
tatE,tatE,twin-arginine translocase subunit TatE,9,9,1.0,1,4743,,,,204,204,204.0,AJBGEP_03280,HFCAGB_03625,BEJGEH_03210,GEGEGB_11780,ODDLKH_05620,LNHIMF_03885,ONMMKP_07625,IKCLMC_12270,PKJKAM_15270
ytfK,ytfK,Uncharacterized protein YtfK,9,9,1.0,1,4732,,,,207,207,207.0,AJBGEP_23080,HFCAGB_23225,BEJGEH_22415,GEGEGB_23520,ODDLKH_01380,LNHIMF_22520,ONMMKP_11930,IKCLMC_17020,PKJKAM_11505
yibT,yibT,Uncharacterized protein YibT,9,9,1.0,1,4722,,,,210,210,210.0,AJBGEP_19415,HFCAGB_19690,BEJGEH_18665,GEGEGB_20255,ODDLKH_20715,LNHIMF_18665,ONMMKP_15760,IKCLMC_13480,PKJKAM_18390
group_1934,cspE,transcription antiterminator/RNA stability regulator CspE,9,9,1.0,1,4721,,,,210,210,210.0,AJBGEP_09655,HFCAGB_07205,BEJGEH_06145,GEGEGB_05535,ODDLKH_11645,LNHIMF_09545,ONMMKP_01000,IKCLMC_21645,PKJKAM_21725
marB,marB,multiple antibiotic resistance protein MarB,9,9,1.0,1,4720,,,,210,210,210.0,AJBGEP_08005,HFCAGB_08800,BEJGEH_07835,GEGEGB_07595,ODDLKH_10005,LNHIMF_07870,ONMMKP_02660,IKCLMC_23270,PKJKAM_23365
cspE,cspE,transcription antiterminator/RNA stability regulator CspE,9,9,1.0,1,4719,,,,210,210,210.0,AJBGEP_03265,HFCAGB_03610,BEJGEH_03195,GEGEGB_11795,ODDLKH_05605,LNHIMF_03870,ONMMKP_07640,IKCLMC_12255,PKJKAM_15285
yjbJ,yjbJ,UPF0337 protein YjbJ,9,9,1.0,1,4710,,,,213,213,213.0,AJBGEP_22260,HFCAGB_22410,BEJGEH_21520,GEGEGB_21910,ODDLKH_00500,LNHIMF_21345,ONMMKP_12755,IKCLMC_05235,PKJKAM_06395
rpmE,rpmE,50S ribosomal protein L31,9,9,1.0,1,4709,,,,213,213,213.0,AJBGEP_21540,HFCAGB_21760,BEJGEH_20805,GEGEGB_18580,ODDLKH_22790,LNHIMF_20760,ONMMKP_13455,IKCLMC_03710,PKJKAM_06940
cspJ,cspJ,Cold shock-like protein CspJ,9,9,1.0,1,4708,,,,213,213,213.0,AJBGEP_10490,HFCAGB_06095,BEJGEH_05350,GEGEGB_04730,ODDLKH_12460,LNHIMF_10370,ONMMKP_00160,IKCLMC_20770,PKJKAM_20845
fumD,fumD,fumarate hydratase FumD,9,9,1.0,1,4707,,,,213,213,213.0,AJBGEP_07345,HFCAGB_09485,BEJGEH_08495,GEGEGB_06670,ODDLKH_09345,LNHIMF_07200,ONMMKP_03315,IKCLMC_23940,PKJKAM_04140
ybcJ,ybcJ,ribosome-associated protein YbcJ,9,9,1.0,1,4706,,,,213,213,213.0,AJBGEP_02820,HFCAGB_02845,BEJGEH_02775,GEGEGB_12220,ODDLKH_05160,LNHIMF_02750,ONMMKP_08075,IKCLMC_11535,PKJKAM_16000
rpsU,rpsU,30S ribosomal protein S21,9,9,1.0,1,4693,,,,216,216,216.0,AJBGEP_16940,HFCAGB_17215,BEJGEH_16185,GEGEGB_16455,ODDLKH_18240,LNHIMF_16315,ONMMKP_18145,IKCLMC_18220,PKJKAM_09320
bdm,bdm,biofilm-dependent modulation protein,9,9,1.0,1,4691,,,,216,216,216.0,AJBGEP_08255,HFCAGB_08610,BEJGEH_07575,GEGEGB_07820,ODDLKH_10260,LNHIMF_08135,ONMMKP_02410,IKCLMC_23040,PKJKAM_23120
ydgT,ydgT,transcription modulator YdgT,9,9,1.0,1,4690,,,,216,216,216.0,AJBGEP_07720,HFCAGB_09100,BEJGEH_08125,GEGEGB_07040,ODDLKH_09725,LNHIMF_07575,ONMMKP_02940,IKCLMC_23565,PKJKAM_00905
ssaG,ssaG,type III secretion system needle filament protein SsaG,9,9,1.0,1,4689,,,,216,216,216.0,AJBGEP_07435,HFCAGB_09390,BEJGEH_08405,GEGEGB_06760,ODDLKH_09435,LNHIMF_07290,ONMMKP_03225,IKCLMC_23850,PKJKAM_04050
yheU,yheU,YheU family protein,9,9,1.0,1,4679,,,,219,219,219.0,AJBGEP_18235,HFCAGB_18505,BEJGEH_17470,GEGEGB_21370,ODDLKH_19555,LNHIMF_17585,ONMMKP_16885,IKCLMC_14645,PKJKAM_19515
slyX,slyX,Protein SlyX,9,9,1.0,1,4678,,,,219,219,219.0,AJBGEP_18190,HFCAGB_18465,BEJGEH_17425,GEGEGB_21420,ODDLKH_19510,LNHIMF_17540,ONMMKP_16930,IKCLMC_14690,PKJKAM_19560
group_1906,,Lipoprotein YgdI/YgdR-like SH3-like domain-containing protein,9,9,1.0,1,4677,,,,219,219,219.0,AJBGEP_15880,HFCAGB_16150,BEJGEH_15080,GEGEGB_15325,ODDLKH_17195,LNHIMF_15245,ONMMKP_19285,IKCLMC_19280,PKJKAM_11820
