"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Accessory Fragment","Genome Fragment","Order within Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","GCF_000022165.1","GCF_000020925.1","GCF_000020885.1","GCF_000007545.1","GCF_000170215.1","GCF_000020745.1","GCF_000171535.2","GCF_000171415.1","GCF_000171515.1"
"AJBGEP_16900","persistent","bifunctional [glutamate--ammonia ligase]-adenylyl-L-tyrosine phosphorylase/[glutamate--ammonia-ligase] adenylyltransferase","9","9","1.0","NA","NA","","","","2843","2843","2843.0","AJBGEP_16900","HFCAGB_17175","BEJGEH_16145","GEGEGB_16415","ODDLKH_18200","LNHIMF_16275","ONMMKP_18185","IKCLMC_18260","PKJKAM_09360"
"AJBGEP_16905","persistent","Inorganic triphosphatase YgiF, contains CYTH and CHAD domains","9","9","1.0","NA","NA","","","","1301","1301","1301.0","AJBGEP_16905","HFCAGB_17180","BEJGEH_16150","GEGEGB_16420","ODDLKH_18205","LNHIMF_16280","ONMMKP_18180","IKCLMC_18255","PKJKAM_09355"
"AJBGEP_16910","persistent","TIGR04211 family SH3 domain-containing protein","9","9","1.0","NA","NA","","","","614","614","614.0","AJBGEP_16910","HFCAGB_17185","BEJGEH_16155","GEGEGB_16425","ODDLKH_18210","LNHIMF_16285","ONMMKP_18175","IKCLMC_18250","PKJKAM_09350"
"AJBGEP_16920","persistent","undecaprenyl-diphosphate phosphatase","9","9","1.0","NA","NA","","","","821","821","821.0","AJBGEP_16920","HFCAGB_17195","BEJGEH_16165","GEGEGB_16435","ODDLKH_18220","LNHIMF_16295","ONMMKP_18165","IKCLMC_18240","PKJKAM_09340"
"AJBGEP_16925","persistent","bifunctional dihydroneopterin aldolase/7,8-dihydroneopterin epimerase","9","9","1.0","NA","NA","","","","359","359","359.0","AJBGEP_16925","HFCAGB_17200","BEJGEH_16170","GEGEGB_16440","ODDLKH_18225","LNHIMF_16300","ONMMKP_18160","IKCLMC_18235","PKJKAM_09335"
"AJBGEP_16930","persistent","glycerol-3-phosphate 1-O-acyltransferase PlsY","9","9","1.0","NA","NA","","","","611","617","611.67","AJBGEP_16930","HFCAGB_17205","BEJGEH_16175","GEGEGB_16445","ODDLKH_18230","LNHIMF_16305","ONMMKP_18155","IKCLMC_18230","PKJKAM_09330"
"AJBGEP_16935","persistent","tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex transferase subunit TsaD","9","9","1.0","NA","NA","","","","1013","1013","1013.0","AJBGEP_16935","HFCAGB_17210","BEJGEH_16180","GEGEGB_16450","ODDLKH_18235","LNHIMF_16310","ONMMKP_18150","IKCLMC_18225","PKJKAM_09325"
"AJBGEP_16940","persistent","30S ribosomal protein S21","9","9","1.0","NA","NA","","","","215","215","215.0","AJBGEP_16940","HFCAGB_17215","BEJGEH_16185","GEGEGB_16455","ODDLKH_18240","LNHIMF_16315","ONMMKP_18145","IKCLMC_18220","PKJKAM_09320"
"AJBGEP_16945","persistent","DNA primase","9","9","1.0","NA","NA","","","","1745","1745","1745.0","AJBGEP_16945","HFCAGB_17220","BEJGEH_16190","GEGEGB_16460","ODDLKH_18245","LNHIMF_16320","ONMMKP_18140","IKCLMC_18215","PKJKAM_09315"
"AJBGEP_16950","persistent","RNA polymerase sigma factor RpoD","9","9","1.0","NA","NA","","","","1982","1982","1982.0","AJBGEP_16950","HFCAGB_17225","BEJGEH_16195","GEGEGB_16465","ODDLKH_18250","LNHIMF_16325","ONMMKP_18135","IKCLMC_18210","PKJKAM_09310"
"AJBGEP_16955","persistent","G/U mismatch-specific DNA glycosylase","9","9","1.0","NA","NA","","","","506","506","506.0","AJBGEP_16955","HFCAGB_17230","BEJGEH_16200","GEGEGB_16470","ODDLKH_18255","LNHIMF_16330","ONMMKP_18130","IKCLMC_18205","PKJKAM_09305"
"AJBGEP_16965","persistent","NADPH-dependent ferric siderophore reductase, contains FAD-binding and SIP domains","9","9","1.0","NA","NA","","","","767","767","767.0","AJBGEP_16965","HFCAGB_17240","BEJGEH_16210","GEGEGB_16480","ODDLKH_18265","LNHIMF_16340","ONMMKP_18120","IKCLMC_18195","PKJKAM_09095"
"AJBGEP_16970","persistent","PadR family transcriptional regulator","9","9","1.0","NA","NA","","","","644","644","644.0","AJBGEP_16970","HFCAGB_17245","BEJGEH_16215","GEGEGB_16485","ODDLKH_18270","LNHIMF_16345","ONMMKP_18115","IKCLMC_18190","PKJKAM_09090"
"AJBGEP_16975","persistent","Methyl-accepting chemotaxis protein (MCP)","9","9","1.0","NA","NA","","","","1565","1568","1566.33","AJBGEP_16975","HFCAGB_17250","BEJGEH_16220","GEGEGB_16490","ODDLKH_18275","LNHIMF_16350","ONMMKP_18110","IKCLMC_18185","PKJKAM_09085"
"AJBGEP_16980","persistent","PAS domain","9","9","1.0","NA","NA","","","","1520","1520","1520.0","AJBGEP_16980","HFCAGB_17255","BEJGEH_16225","GEGEGB_16495","ODDLKH_18280","LNHIMF_16355","ONMMKP_18105","IKCLMC_18180","PKJKAM_09080"
"AJBGEP_16985","persistent","putrescine aminotransferase","9","9","1.0","NA","NA","","","","1379","1379","1379.0","AJBGEP_16985","HFCAGB_17260","BEJGEH_16230","GEGEGB_16500","ODDLKH_18285","LNHIMF_16360","ONMMKP_18100","IKCLMC_18175","PKJKAM_09075"
"AJBGEP_16990","persistent","2,4-dienoyl-CoA reductase or related NADH-dependent reductase, Old Yellow Enzyme (OYE) family","9","11","1.22","NA","NA","","","","197","2018","1649.27","AJBGEP_16990","HFCAGB_17265","BEJGEH_16235","GEGEGB_16510" "GEGEGB_16505" "GEGEGB_16515","ODDLKH_18290","LNHIMF_16365","ONMMKP_18095","IKCLMC_18170","PKJKAM_09070"
"AJBGEP_16995","persistent","23S rRNA (guanine(1835)-N(2))-methyltransferase RlmG","9","9","1.0","NA","NA","","","","1136","1136","1136.0","AJBGEP_16995","HFCAGB_17270","BEJGEH_16240","GEGEGB_16520","ODDLKH_18295","LNHIMF_16370","ONMMKP_18090","IKCLMC_18165","PKJKAM_09065"
"AJBGEP_17000","persistent","UTP pyrophosphatase, metal-dependent hydrolase family","9","9","1.0","NA","NA","","","","497","497","497.0","AJBGEP_17000","HFCAGB_17275","BEJGEH_16245","GEGEGB_16525","ODDLKH_18300","LNHIMF_16375","ONMMKP_18085","IKCLMC_18160","PKJKAM_09060"
"AJBGEP_17005","persistent","Uncharacterized periplasmic protein SanA, affects membrane permeability for vancomycin","9","9","1.0","NA","NA","","","","692","692","692.0","AJBGEP_17005","HFCAGB_17280","BEJGEH_16250","GEGEGB_16530","ODDLKH_18305","LNHIMF_16380","ONMMKP_18080","IKCLMC_18155","PKJKAM_09055"
"AJBGEP_17010","persistent","putative dehydrogenase","9","9","1.0","NA","NA","","","","998","998","998.0","AJBGEP_17010","HFCAGB_17285","BEJGEH_16255","GEGEGB_16535","ODDLKH_18310","LNHIMF_16385","ONMMKP_18075","IKCLMC_18150","PKJKAM_09050"
"AJBGEP_17015","persistent","Putative membrane-bound redox modulator Alx","9","9","1.0","NA","NA","","","","968","968","968.0","AJBGEP_17015","HFCAGB_17290","BEJGEH_16260","GEGEGB_16540","ODDLKH_18315","LNHIMF_16390","ONMMKP_18070","IKCLMC_18145","PKJKAM_09045"
"AJBGEP_17025","persistent","serine/threonine transporter SstT","9","9","1.0","NA","NA","","","","1244","1244","1244.0","AJBGEP_17025","HFCAGB_17300","BEJGEH_16270","GEGEGB_16550","ODDLKH_18325","LNHIMF_16400","ONMMKP_18060","IKCLMC_18135","PKJKAM_09035"
"AJBGEP_17030","persistent","Inner membrane protein YqjA","9","9","1.0","NA","NA","","","","662","662","662.0","AJBGEP_17030","HFCAGB_17305","BEJGEH_16275","GEGEGB_16555","ODDLKH_18330","LNHIMF_16405","ONMMKP_18055","IKCLMC_18130","PKJKAM_09030"
"AJBGEP_17035","persistent","EnvZ/OmpR regulon moderator MzrA","9","9","1.0","NA","NA","","","","383","383","383.0","AJBGEP_17035","HFCAGB_17310","BEJGEH_16280","GEGEGB_16560","ODDLKH_18335","LNHIMF_16410","ONMMKP_18050","IKCLMC_18125","PKJKAM_09025"
"AJBGEP_17040","persistent","DUF1090 domain-containing protein","9","9","1.0","NA","NA","","","","368","368","368.0","AJBGEP_17040","HFCAGB_17315","BEJGEH_16285","GEGEGB_16565","ODDLKH_18340","LNHIMF_16415","ONMMKP_18045","IKCLMC_18120","PKJKAM_09020"
"AJBGEP_17045","persistent","DUF883 domain-containing protein","9","9","1.0","NA","NA","","","","305","305","305.0","AJBGEP_17045","HFCAGB_17320","BEJGEH_16290","GEGEGB_16570","ODDLKH_18345","LNHIMF_16420","ONMMKP_18040","IKCLMC_18115","PKJKAM_09015"
"AJBGEP_17055","persistent","Inner membrane protein YqjK","9","9","1.0","NA","NA","","","","299","299","299.0","AJBGEP_17055","HFCAGB_17330","BEJGEH_16300","GEGEGB_16580","ODDLKH_18355","LNHIMF_16430","ONMMKP_18030","IKCLMC_18105","PKJKAM_09005"
"AJBGEP_17060","persistent","Uncharacterized membrane protein YphA, DoxX/SURF4 family","9","9","1.0","NA","NA","","","","392","485","474.67","AJBGEP_17060","HFCAGB_17335","BEJGEH_16305","GEGEGB_16585","ODDLKH_18360","LNHIMF_16435","ONMMKP_18025","IKCLMC_18100","PKJKAM_09000"
"AJBGEP_17065","persistent","Glutathionyl-hydroquinone reductase YqjG","9","9","1.0","NA","NA","","","","524","986","934.67","AJBGEP_17065","HFCAGB_17340","BEJGEH_16310","GEGEGB_16590","ODDLKH_18365","LNHIMF_16440","ONMMKP_18020","IKCLMC_18095","PKJKAM_08995"
"AJBGEP_17070","persistent","DUF805 domain-containing protein","9","9","1.0","NA","NA","","","","365","365","365.0","AJBGEP_17070","HFCAGB_17345","BEJGEH_16315","GEGEGB_16595","ODDLKH_18370","LNHIMF_16445","ONMMKP_18015","IKCLMC_18090","PKJKAM_08990"
"AJBGEP_17075","persistent","DNA-binding transcriptional regulator YhaJ","9","9","1.0","NA","NA","","","","896","896","896.0","AJBGEP_17075","HFCAGB_17350","BEJGEH_16320","GEGEGB_16600","ODDLKH_18375","LNHIMF_16450","ONMMKP_18010","IKCLMC_18085","PKJKAM_08985"
"AJBGEP_17080","persistent","Redox-sensitive bicupin YhaK, pirin superfamily","9","9","1.0","NA","NA","","","","701","701","701.0","AJBGEP_17080","HFCAGB_17355","BEJGEH_16325","GEGEGB_16605","ODDLKH_18380","LNHIMF_16455","ONMMKP_18005","IKCLMC_18080","PKJKAM_08980"
"AJBGEP_17085","persistent","Cytoplasmic protein","9","9","1.0","NA","NA","","","","164","164","164.0","AJBGEP_17085","HFCAGB_17360","BEJGEH_16330","GEGEGB_16610","ODDLKH_18385","LNHIMF_16460","ONMMKP_18000","IKCLMC_18075","PKJKAM_08975"
"AJBGEP_17090","persistent","UPF0597 protein YhaM","9","9","1.0","NA","NA","","","","1310","1310","1310.0","AJBGEP_17090","HFCAGB_17365","BEJGEH_16335","GEGEGB_16615","ODDLKH_18390","LNHIMF_16465","ONMMKP_17995","IKCLMC_18070","PKJKAM_08970"
"AJBGEP_17095","persistent","Amino acid permease","9","11","1.22","NA","NA","","","","176","1331","1088.27","AJBGEP_17095","HFCAGB_17370","BEJGEH_16340","GEGEGB_16630" "GEGEGB_16625" "GEGEGB_16620","ODDLKH_18395","LNHIMF_16470","ONMMKP_17990","IKCLMC_18065","PKJKAM_08965"
"AJBGEP_17110","persistent","formate C-acetyltransferase","9","9","1.0","NA","NA","","","","2294","2294","2294.0","AJBGEP_17110","HFCAGB_17385","BEJGEH_16355","GEGEGB_16645","ODDLKH_18410","LNHIMF_16485","ONMMKP_17975","IKCLMC_18050","PKJKAM_08950"
"AJBGEP_17115","persistent","propionate kinase","9","9","1.0","NA","NA","","","","1208","1208","1208.0","AJBGEP_17115","HFCAGB_17390","BEJGEH_16360","GEGEGB_16650","ODDLKH_18415","LNHIMF_16490","ONMMKP_17970","IKCLMC_18045","PKJKAM_08945"
"AJBGEP_17120","persistent","threonine/serine transporter TdcC","9","10","1.11","NA","NA","","","","578","1331","1201.1","AJBGEP_17120","HFCAGB_17395","BEJGEH_16365","GEGEGB_16660" "GEGEGB_16655","ODDLKH_18420","LNHIMF_16495","ONMMKP_17965","IKCLMC_18040","PKJKAM_08940"
"AJBGEP_17125","persistent","bifunctional threonine ammonia-lyase/L-serine ammonia-lyase TdcB","9","9","1.0","NA","NA","","","","989","989","989.0","AJBGEP_17125","HFCAGB_17400","BEJGEH_16370","GEGEGB_16665","ODDLKH_18425","LNHIMF_16500","ONMMKP_17960","IKCLMC_18035","PKJKAM_08935"
"AJBGEP_17140","persistent","glycerate 2-kinase","9","9","1.0","NA","NA","","","","1145","1145","1145.0","AJBGEP_17140","HFCAGB_17415","BEJGEH_16385","GEGEGB_16680","ODDLKH_18440","LNHIMF_16515","ONMMKP_17945","IKCLMC_18020","PKJKAM_08920"
"AJBGEP_17145","persistent","2-hydroxy-3-oxopropionate reductase","9","9","1.0","NA","NA","","","","890","890","890.0","AJBGEP_17145","HFCAGB_17420","BEJGEH_16390","GEGEGB_16685","ODDLKH_18445","LNHIMF_16520","ONMMKP_17940","IKCLMC_18015","PKJKAM_08915"
"AJBGEP_17150","persistent","2-dehydro-3-deoxyglucarate aldolase","9","9","1.0","NA","NA","","","","770","770","770.0","AJBGEP_17150","HFCAGB_17425","BEJGEH_16395","GEGEGB_16690","ODDLKH_18450","LNHIMF_16525","ONMMKP_17935","IKCLMC_18010","PKJKAM_08910"
"AJBGEP_17155","persistent","galactarate dehydratase","9","9","1.0","NA","NA","","","","1460","1571","1558.67","AJBGEP_17155","HFCAGB_17430","BEJGEH_16400","GEGEGB_16695","ODDLKH_18455","LNHIMF_16530","ONMMKP_17930","IKCLMC_18005","PKJKAM_08905"
"AJBGEP_17160","shell","Sugar or nucleoside kinase, ribokinase family","5","5","1.0","NA","NA","","","","947","947","947.0","AJBGEP_17160","","","GEGEGB_16700","ODDLKH_18460","","","IKCLMC_18000","PKJKAM_08900"
"AJBGEP_17165","shell","DNA-binding transcriptional regulator of sugar metabolism, DeoR/GlpR family","5","5","1.0","NA","NA","","","","833","833","833.0","AJBGEP_17165","","","GEGEGB_16705","ODDLKH_18465","","","IKCLMC_17995","PKJKAM_08895"
"AJBGEP_17170","persistent","tagatose bisphosphate family class II aldolase","9","9","1.0","NA","NA","","","","854","854","854.0","AJBGEP_17170","HFCAGB_17435","BEJGEH_16405","GEGEGB_16710","ODDLKH_18470","LNHIMF_16535","ONMMKP_17925","IKCLMC_17990","PKJKAM_08890"
"AJBGEP_17175","shell","1-phosphofructokinase","5","5","1.0","NA","NA","","","","914","914","914.0","AJBGEP_17175","","","GEGEGB_16715","ODDLKH_18475","","","IKCLMC_17985","PKJKAM_08885"
"AJBGEP_17185","persistent","galactitol-1-phosphate 5-dehydrogenase","9","9","1.0","NA","NA","","","","1043","1043","1043.0","AJBGEP_17185","HFCAGB_17460","BEJGEH_16430","GEGEGB_16755","ODDLKH_18510","LNHIMF_16560","ONMMKP_17900","IKCLMC_17950","PKJKAM_08850"
"AJBGEP_17190","persistent","DNA-binding transcriptional regulator of sugar metabolism, DeoR/GlpR family","9","9","1.0","NA","NA","","","","773","773","773.0","AJBGEP_17190","HFCAGB_17465","BEJGEH_16435","GEGEGB_16760","ODDLKH_18515","LNHIMF_16565","ONMMKP_17895","IKCLMC_17945","PKJKAM_08845"
"AJBGEP_17195","persistent","16S rRNA (cytidine(1402)-2'-O)-methyltransferase","9","9","1.0","NA","NA","","","","863","863","863.0","AJBGEP_17195","HFCAGB_17470","BEJGEH_16440","GEGEGB_16765","ODDLKH_18520","LNHIMF_16570","ONMMKP_17890","IKCLMC_17940","PKJKAM_08840"
"AJBGEP_17200","persistent","Outer membrane lipoprotein LpoA, binds and activates PBP1a","9","9","1.0","NA","NA","","","","2039","2051","2042.67","AJBGEP_17200","HFCAGB_17475","BEJGEH_16445","GEGEGB_16770","ODDLKH_18525","LNHIMF_16575","ONMMKP_17885","IKCLMC_17935","PKJKAM_08835"
"AJBGEP_17205","persistent","YraN family protein","9","9","1.0","NA","NA","","","","395","395","395.0","AJBGEP_17205","HFCAGB_17480","BEJGEH_16450","GEGEGB_16775","ODDLKH_18530","LNHIMF_16580","ONMMKP_17880","IKCLMC_17930","PKJKAM_08830"
"AJBGEP_17210","persistent","DnaA initiator-associating protein DiaA","9","9","1.0","NA","NA","","","","590","590","590.0","AJBGEP_17210","HFCAGB_17485","BEJGEH_16455","GEGEGB_16780","ODDLKH_18535","LNHIMF_16585","ONMMKP_17875","IKCLMC_17925","PKJKAM_08825"
"AJBGEP_17215","persistent","division/outer membrane stress-associated lipid-binding lipoprotein","9","9","1.0","NA","NA","","","","575","575","575.0","AJBGEP_17215","HFCAGB_17490","BEJGEH_16460","GEGEGB_16785","ODDLKH_18540","LNHIMF_16590","ONMMKP_17870","IKCLMC_17920","PKJKAM_08820"
"AJBGEP_17220","persistent","DUF2867 domain-containing protein","9","9","1.0","NA","NA","","","","635","635","635.0","AJBGEP_17220","HFCAGB_17495","BEJGEH_16465","GEGEGB_16790","ODDLKH_18545","LNHIMF_16595","ONMMKP_17865","IKCLMC_17915","PKJKAM_08815"
"AJBGEP_17225","persistent","protein/nucleic acid deglycase","9","9","1.0","NA","NA","","","","518","518","518.0","AJBGEP_17225","HFCAGB_17500","BEJGEH_16470","GEGEGB_16795","ODDLKH_18550","LNHIMF_16600","ONMMKP_17860","IKCLMC_17910","PKJKAM_08810"
"AJBGEP_17230","persistent","YhbP family protein","9","9","1.0","NA","NA","","","","443","443","443.0","AJBGEP_17230","HFCAGB_17505","BEJGEH_16475","GEGEGB_16800","ODDLKH_18555","LNHIMF_16605","ONMMKP_17855","IKCLMC_17905","PKJKAM_08805"
"AJBGEP_17235","persistent","UPF0213 protein YhbQ","9","9","1.0","NA","NA","","","","317","317","317.0","AJBGEP_17235","HFCAGB_17510","BEJGEH_16480","GEGEGB_16805","ODDLKH_18560","LNHIMF_16610","ONMMKP_17850","IKCLMC_17900","PKJKAM_08800"
"AJBGEP_17240","persistent","Uncharacterized N-acetyltransferase YhbS","9","9","1.0","NA","NA","","","","503","503","503.0","AJBGEP_17240","HFCAGB_17515","BEJGEH_16485","GEGEGB_16810","ODDLKH_18565","LNHIMF_16615","ONMMKP_17845","IKCLMC_17895","PKJKAM_08795"
"AJBGEP_17245","persistent","Ubiquinone biosynthesis accessory factor UbiT, lipid carrier SCP2 domain","9","9","1.0","NA","NA","","","","524","524","524.0","AJBGEP_17245","HFCAGB_17520","BEJGEH_16490","GEGEGB_16815","ODDLKH_18570","LNHIMF_16620","ONMMKP_17840","IKCLMC_17890","PKJKAM_08790"
"AJBGEP_17250","persistent","23S rRNA C2501 and tRNA U34 5'-hydroxylation protein RlhA/YrrN/YrrO, U32 peptidase family","9","9","1.0","NA","NA","","","","995","995","995.0","AJBGEP_17250","HFCAGB_17525","BEJGEH_16495","GEGEGB_16820","ODDLKH_18575","LNHIMF_16625","ONMMKP_17835","IKCLMC_17885","PKJKAM_08785"
"AJBGEP_17255","persistent","U32 family peptidase","9","9","1.0","NA","NA","","","","878","878","878.0","AJBGEP_17255","HFCAGB_17530","BEJGEH_16500","GEGEGB_16825","ODDLKH_18580","LNHIMF_16630","ONMMKP_17830","IKCLMC_17880","PKJKAM_08780"
"AJBGEP_17260","persistent","luciferase-like monooxygenase","9","9","1.0","NA","NA","","","","1007","1007","1007.0","AJBGEP_17260","HFCAGB_17535","BEJGEH_16505","GEGEGB_16830","ODDLKH_18585","LNHIMF_16635","ONMMKP_17825","IKCLMC_17875","PKJKAM_08775"
"AJBGEP_17265","cloud","Murein L,D-transpeptidase YafK","4","4","1.0","NA","NA","","","","719","719","719.0","AJBGEP_17265","HFCAGB_17540","BEJGEH_16510","","ODDLKH_18590","","","",""
"AJBGEP_17270","cloud","Cytoplasmic protein","4","4","1.0","NA","NA","","","","530","530","530.0","AJBGEP_17270","HFCAGB_17545","BEJGEH_16515","","ODDLKH_18595","","","",""
"AJBGEP_17275","persistent","tryptophan permease","9","9","1.0","NA","NA","","","","1244","1244","1244.0","AJBGEP_17275","HFCAGB_17550","BEJGEH_16520","GEGEGB_16835","ODDLKH_18600","LNHIMF_16640","ONMMKP_17820","IKCLMC_17870","PKJKAM_08770"
"AJBGEP_17280","persistent","ATP-dependent RNA helicase DeaD","9","9","1.0","NA","NA","","","","1889","1889","1889.0","AJBGEP_17280","HFCAGB_17555","BEJGEH_16525","GEGEGB_16840","ODDLKH_18605","LNHIMF_16645","ONMMKP_17815","IKCLMC_17865","PKJKAM_08765"
"AJBGEP_17285","persistent","Uncharacterized protein YrbN","9","9","1.0","NA","NA","","","","80","80","80.0","AJBGEP_17285","HFCAGB_17560","BEJGEH_16530","GEGEGB_16845","ODDLKH_18610","LNHIMF_16650","ONMMKP_17810","IKCLMC_17860","PKJKAM_08760"
"AJBGEP_17290","persistent","lipoprotein NlpI","9","9","1.0","NA","NA","","","","884","884","884.0","AJBGEP_17290","HFCAGB_17565","BEJGEH_16535","GEGEGB_16850","ODDLKH_18615","LNHIMF_16655","ONMMKP_17805","IKCLMC_17855","PKJKAM_08755"
"AJBGEP_17295","persistent","polyribonucleotide nucleotidyltransferase","9","9","1.0","NA","NA","","","","2135","2165","2161.67","AJBGEP_17295","HFCAGB_17570","BEJGEH_16540","GEGEGB_16855","ODDLKH_18620","LNHIMF_16660","ONMMKP_17800","IKCLMC_17850","PKJKAM_08750"
"AJBGEP_17305","persistent","30S ribosomal protein S15","9","9","1.0","NA","NA","","","","269","269","269.0","AJBGEP_17305","HFCAGB_17580","BEJGEH_16550","GEGEGB_16865","ODDLKH_18630","LNHIMF_16670","ONMMKP_17790","IKCLMC_17840","PKJKAM_08740"
"AJBGEP_17310","persistent","tRNA pseudouridine(55) synthase TruB","9","9","1.0","NA","NA","","","","944","944","944.0","AJBGEP_17310","HFCAGB_17585","BEJGEH_16555","GEGEGB_16870","ODDLKH_18635","LNHIMF_16675","ONMMKP_17785","IKCLMC_17835","PKJKAM_08735"
"AJBGEP_17315","persistent","30S ribosome-binding factor RbfA","9","9","1.0","NA","NA","","","","401","401","401.0","AJBGEP_17315","HFCAGB_17590","BEJGEH_16560","GEGEGB_16875","ODDLKH_18640","LNHIMF_16680","ONMMKP_17780","IKCLMC_17830","PKJKAM_08730"
"AJBGEP_17320","persistent","translation initiation factor IF-2","9","9","1.0","NA","NA","","","","2678","2678","2678.0","AJBGEP_17320","HFCAGB_17595","BEJGEH_16565","GEGEGB_16880","ODDLKH_18645","LNHIMF_16685","ONMMKP_17775","IKCLMC_17825","PKJKAM_08725"
"AJBGEP_17325","persistent","Transcription termination/antitermination protein NusA","9","9","1.0","NA","NA","","","","1502","1502","1502.0","AJBGEP_17325","HFCAGB_17600","BEJGEH_16570","GEGEGB_16885","ODDLKH_18650","LNHIMF_16690","ONMMKP_17770","IKCLMC_17820","PKJKAM_08720"
"AJBGEP_17330","persistent","ribosome maturation factor RimP","9","9","1.0","NA","NA","","","","452","452","452.0","AJBGEP_17330","HFCAGB_17605","BEJGEH_16575","GEGEGB_16890","ODDLKH_18655","LNHIMF_16695","ONMMKP_17765","IKCLMC_17815","PKJKAM_08715"
"AJBGEP_17340","persistent","argininosuccinate synthase","9","9","1.0","NA","NA","","","","1343","1343","1343.0","AJBGEP_17340","HFCAGB_17615","BEJGEH_16585","GEGEGB_16900","ODDLKH_18665","LNHIMF_16705","ONMMKP_17755","IKCLMC_17805","PKJKAM_08705"
"AJBGEP_17345","shell","Putative cytoplasmic protein","5","5","1.0","NA","NA","","","","1064","1064","1064.0","AJBGEP_17345","","BEJGEH_16590","","ODDLKH_18670","","","IKCLMC_17800","PKJKAM_08700"
"AJBGEP_17355","persistent","preprotein translocase subunit SecG","9","9","1.0","NA","NA","","","","332","332","332.0","AJBGEP_17355","HFCAGB_17630","BEJGEH_16600","GEGEGB_16910","ODDLKH_18680","LNHIMF_16715","ONMMKP_17745","IKCLMC_17790","PKJKAM_08690"
"AJBGEP_17360","persistent","phosphoglucosamine mutase","9","9","1.0","NA","NA","","","","1337","1337","1337.0","AJBGEP_17360","HFCAGB_17635","BEJGEH_16605","GEGEGB_16915","ODDLKH_18685","LNHIMF_16720","ONMMKP_17740","IKCLMC_17785","PKJKAM_08685"
"AJBGEP_17365","persistent","dihydropteroate synthase","9","9","1.0","NA","NA","","","","848","848","848.0","AJBGEP_17365","HFCAGB_17640","BEJGEH_16610","GEGEGB_16920","ODDLKH_18690","LNHIMF_16725","ONMMKP_17735","IKCLMC_17780","PKJKAM_08680"
"AJBGEP_17380","persistent","ATP-dependent zinc metalloprotease FtsH","9","9","1.0","NA","NA","","","","1934","1943","1942.0","AJBGEP_17380","HFCAGB_17645","BEJGEH_16615","GEGEGB_16925","ODDLKH_18695","LNHIMF_16730","ONMMKP_17730","IKCLMC_17775","PKJKAM_08675"
"AJBGEP_17385","persistent","23S rRNA (uridine(2552)-2'-O)-methyltransferase RlmE","9","9","1.0","NA","NA","","","","626","626","626.0","AJBGEP_17385","HFCAGB_17650","BEJGEH_16620","GEGEGB_16930","ODDLKH_18700","LNHIMF_16735","ONMMKP_17725","IKCLMC_17770","PKJKAM_08670"
"AJBGEP_17390","persistent","ribosome assembly RNA-binding protein YhbY","9","9","1.0","NA","NA","","","","332","332","332.0","AJBGEP_17390","HFCAGB_17655","BEJGEH_16625","GEGEGB_16935","ODDLKH_18705","LNHIMF_16740","ONMMKP_17720","IKCLMC_17765","PKJKAM_08665"
"AJBGEP_17395","persistent","transcription elongation factor GreA","9","9","1.0","NA","NA","","","","476","476","476.0","AJBGEP_17395","HFCAGB_17660","BEJGEH_16630","GEGEGB_16940","ODDLKH_18710","LNHIMF_16745","ONMMKP_17715","IKCLMC_17760","PKJKAM_08660"
"AJBGEP_17400","persistent","hypothetical protein","9","9","1.0","NA","NA","","","","101","101","101.0","AJBGEP_17400","HFCAGB_17665","BEJGEH_16635","GEGEGB_16945","ODDLKH_18715","LNHIMF_16750","ONMMKP_17710","IKCLMC_17755","PKJKAM_08655"
"AJBGEP_17405","persistent","serine-type D-Ala-D-Ala carboxypeptidase","9","10","1.11","NA","NA","","","","470","1433","1284.2","AJBGEP_17405","HFCAGB_17670","BEJGEH_16640","GEGEGB_16950","ODDLKH_18720","LNHIMF_16755","ONMMKP_17705","IKCLMC_17750","PKJKAM_08650" "PKJKAM_08645"
"AJBGEP_17410","persistent","Obg family GTPase CgtA","9","9","1.0","NA","NA","","","","1172","1172","1172.0","AJBGEP_17410","HFCAGB_17675","BEJGEH_16645","GEGEGB_16955","ODDLKH_18725","LNHIMF_16760","ONMMKP_17700","IKCLMC_17745","PKJKAM_08640"
"AJBGEP_17415","persistent","Permease of the drug/metabolite transporter (DMT) superfamily","9","9","1.0","NA","NA","","","","890","965","956.67","AJBGEP_17415","HFCAGB_17680","BEJGEH_16650","GEGEGB_16960","ODDLKH_18730","LNHIMF_16765","ONMMKP_17695","IKCLMC_17740","PKJKAM_08635"
"AJBGEP_19005","persistent","AsmA family protein YhjG","9","9","1.0","NA","NA","","","","2060","2060","2060.0","AJBGEP_19005","HFCAGB_19280","BEJGEH_18250","GEGEGB_20650","ODDLKH_20310","LNHIMF_18275","ONMMKP_16180","IKCLMC_13890","PKJKAM_18800"
"AJBGEP_19010","persistent","cyclic-guanylate-specific phosphodiesterase","9","9","1.0","NA","NA","","","","767","767","767.0","AJBGEP_19010","HFCAGB_19285","BEJGEH_18255","GEGEGB_20645","ODDLKH_20315","LNHIMF_18280","ONMMKP_16175","IKCLMC_13885","PKJKAM_18795"
